video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Sthepanie_intento_2.mp4,1,33.333,True,320.000,240.000,0.000,356.000,139.000,0.150000,0.420833,-0.894650,59.921,76.232,149.994,3546.5
Sthepanie_intento_2.mp4,2,66.667,True,320.000,240.000,0.000,355.000,138.000,0.145833,0.425000,-0.893369,60.485,77.023,149.252,3580.0
Sthepanie_intento_2.mp4,3,100.000,True,320.000,240.000,0.000,355.000,138.000,0.145833,0.425000,-0.893369,60.824,76.926,148.994,3592.5
Sthepanie_intento_2.mp4,4,133.333,True,320.000,240.000,0.000,356.000,137.000,0.150000,0.429167,-0.890683,58.060,77.289,145.799,3430.0
Sthepanie_intento_2.mp4,5,166.667,True,320.000,240.000,0.000,359.000,136.000,0.162500,0.433333,-0.886463,56.122,75.938,147.796,3302.0
Sthepanie_intento_2.mp4,6,200.000,True,320.000,240.000,0.000,362.000,134.000,0.175000,0.441667,-0.879946,56.391,76.688,148.169,3315.0
Sthepanie_intento_2.mp4,7,233.333,True,320.000,240.000,0.000,363.000,133.000,0.179167,0.445833,-0.877002,56.730,76.841,147.085,3345.0
Sthepanie_intento_2.mp4,8,266.667,True,320.000,240.000,0.000,362.000,133.000,0.175000,0.445833,-0.877843,57.104,77.135,146.560,3381.5
Sthepanie_intento_2.mp4,9,300.000,True,320.000,240.000,0.000,363.000,131.000,0.179167,0.454167,-0.872715,54.390,75.773,145.211,3163.5
Sthepanie_intento_2.mp4,10,333.333,True,320.000,240.000,0.000,364.000,130.000,0.183333,0.458333,-0.869666,53.536,75.885,146.204,3115.5
Sthepanie_intento_2.mp4,11,366.667,True,319.000,162.000,0.000,365.000,128.000,0.191667,0.141667,-0.971182,53.501,76.185,145.644,3129.5
Sthepanie_intento_2.mp4,12,400.000,True,332.000,153.000,0.000,365.000,128.000,0.137500,0.104167,-0.985009,54.089,76.361,146.112,3155.5
