video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,438.000,231.000,0.368750,0.028125,-0.929103,66.088,92.901,12.475,4411.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,438.000,231.000,0.368750,0.028125,-0.929103,65.508,93.011,11.263,4352.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,438.000,230.000,0.368750,0.031250,-0.929003,63.781,91.754,12.637,4293.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,439.000,230.000,0.371875,0.031250,-0.927757,64.180,91.407,12.012,4255.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,438.000,228.000,0.368750,0.037500,-0.928772,62.670,91.378,9.907,4213.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,6,200.000,True,348.000,213.000,0.000,437.000,226.000,0.278125,-0.040625,-0.959685,63.896,92.247,6.473,4321.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,7,233.333,True,348.000,212.000,0.000,436.000,224.000,0.275000,-0.037500,-0.960713,63.402,90.484,8.126,4140.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,8,266.667,True,351.000,212.000,0.000,436.000,223.000,0.265625,-0.034375,-0.963463,64.554,89.716,7.817,4195.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,9,300.000,True,352.000,212.000,0.000,436.000,224.000,0.262500,-0.037500,-0.964203,63.658,90.255,9.435,4109.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,10,333.333,True,352.000,212.000,0.000,436.000,224.000,0.262500,-0.037500,-0.964203,63.958,89.262,11.041,4105.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,11,366.667,True,353.000,212.000,0.000,436.000,225.000,0.259375,-0.040625,-0.964922,63.226,88.172,12.629,4049.0
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,12,400.000,True,354.000,212.000,0.000,436.000,224.000,0.256250,-0.037500,-0.965883,64.177,89.040,9.582,4088.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,13,433.333,True,355.000,212.000,0.000,437.000,222.000,0.256250,-0.031250,-0.966105,64.551,90.364,7.636,4149.5
grabacion_experimento_ESP32CAM_5_ROI_640x480.mp4,14,466.667,True,355.000,212.000,0.000,438.000,220.000,0.259375,-0.025000,-0.965453,63.992,91.268,9.035,4214.0
