video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
roygel_intento_2_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,489.000,195.000,0.528125,0.140625,-0.837442,55.952,98.370,179.281,4217.5
roygel_intento_2_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,489.000,195.000,0.528125,0.140625,-0.837442,56.014,97.899,179.279,4195.0
roygel_intento_2_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,489.000,196.000,0.528125,0.137500,-0.837960,55.411,96.473,0.551,4097.5
roygel_intento_2_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,488.000,196.000,0.525000,0.137500,-0.839922,55.248,95.634,1.298,4035.0
roygel_intento_2_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,485.000,196.000,0.515625,0.137500,-0.845710,57.673,95.464,0.360,4157.5
roygel_intento_2_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,481.000,196.000,0.503125,0.137500,-0.853205,57.769,92.187,0.719,4099.0
roygel_intento_2_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,480.000,197.000,0.500000,0.134375,-0.855537,57.612,91.766,0.969,4042.0
roygel_intento_2_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,480.000,197.000,0.500000,0.134375,-0.855537,57.307,92.117,1.265,4035.0
roygel_intento_2_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,479.000,198.000,0.496875,0.131250,-0.857840,56.654,91.920,2.052,3971.0
roygel_intento_2_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,479.000,197.000,0.496875,0.134375,-0.857356,57.929,92.129,2.136,4052.0
roygel_intento_2_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,478.000,197.000,0.493750,0.134375,-0.859159,57.501,91.997,2.137,3984.0
roygel_intento_2_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,479.000,196.000,0.496875,0.137500,-0.856860,56.391,90.182,1.188,3874.0
roygel_intento_2_ROI_640x480.mp4,13,433.333,True,320.000,240.000,0.000,481.000,191.000,0.503125,0.153125,-0.850540,51.004,91.103,177.968,3536.0
roygel_intento_2_ROI_640x480.mp4,14,466.667,True,288.000,190.000,0.000,484.000,187.000,0.612500,0.009375,-0.790415,52.181,92.510,177.985,3648.0
roygel_intento_2_ROI_640x480.mp4,15,500.000,True,288.000,190.000,0.000,486.000,182.000,0.618750,0.025000,-0.785190,52.552,92.348,177.367,3679.0
roygel_intento_2_ROI_640x480.mp4,16,533.333,True,288.000,190.000,0.000,486.000,182.000,0.618750,0.025000,-0.785190,53.558,92.362,178.228,3740.0
roygel_intento_2_ROI_640x480.mp4,17,566.667,True,288.000,190.000,0.000,486.000,182.000,0.618750,0.025000,-0.785190,53.271,91.767,177.178,3730.5
roygel_intento_2_ROI_640x480.mp4,18,600.000,True,284.000,190.000,0.000,487.000,183.000,0.634375,0.021875,-0.772716,54.308,93.442,178.175,3870.0
roygel_intento_2_ROI_640x480.mp4,19,633.333,True,280.000,190.000,0.000,487.000,183.000,0.646875,0.021875,-0.762282,53.914,92.492,178.022,3795.0
roygel_intento_2_ROI_640x480.mp4,20,666.667,True,278.000,190.000,0.000,487.000,182.000,0.653125,0.025000,-0.756837,55.056,96.222,177.617,4007.5
roygel_intento_2_ROI_640x480.mp4,21,700.000,True,276.000,190.000,0.000,487.000,182.000,0.659375,0.025000,-0.751398,54.711,94.794,178.225,3938.5
roygel_intento_2_ROI_640x480.mp4,22,733.333,True,274.000,191.000,0.000,487.000,182.000,0.665625,0.028125,-0.745756,55.351,96.175,178.027,4026.5
