video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Victoria_intento_1.mp4,1,33.333,True,320.000,240.000,0.000,292.000,170.000,-0.116667,0.291667,-0.949378,51.170,58.139,126.945,2295.0
Victoria_intento_1.mp4,2,66.667,True,320.000,240.000,0.000,292.000,170.000,-0.116667,0.291667,-0.949378,51.034,57.326,129.162,2265.0
Victoria_intento_1.mp4,3,100.000,True,290.000,174.000,0.000,292.000,170.000,0.008333,0.016667,-0.999826,50.322,57.212,128.054,2218.0
Victoria_intento_1.mp4,4,133.333,True,290.000,174.000,0.000,292.000,170.000,0.008333,0.016667,-0.999826,49.954,56.850,126.329,2193.0
Victoria_intento_1.mp4,5,166.667,True,290.000,173.000,0.000,292.000,170.000,0.008333,0.012500,-0.999887,49.884,56.701,126.133,2175.5
Victoria_intento_1.mp4,6,200.000,True,290.000,173.000,0.000,294.000,170.000,0.016667,0.012500,-0.999783,48.801,57.505,131.552,2171.5
Victoria_intento_1.mp4,7,233.333,True,289.000,174.000,0.000,297.000,170.000,0.033333,0.016667,-0.999305,49.263,56.446,132.630,2163.5
Victoria_intento_1.mp4,8,266.667,True,287.000,176.000,0.000,300.000,170.000,0.054167,0.025000,-0.998219,49.396,56.230,132.557,2154.5
Victoria_intento_1.mp4,9,300.000,True,285.000,178.000,0.000,301.000,170.000,0.066667,0.033333,-0.997218,49.266,56.201,132.554,2150.5
Victoria_intento_1.mp4,10,333.333,True,284.000,180.000,0.000,301.000,170.000,0.070833,0.041667,-0.996618,48.136,56.262,130.343,2102.0
Victoria_intento_1.mp4,11,366.667,True,282.000,182.000,0.000,310.000,165.000,0.116667,0.070833,-0.990642,40.124,55.681,137.674,1696.0
Victoria_intento_1.mp4,12,400.000,True,281.000,184.000,0.000,320.000,161.000,0.162500,0.095833,-0.982044,40.507,54.448,141.609,1703.0
Victoria_intento_1.mp4,13,433.333,True,279.000,186.000,0.000,330.000,157.000,0.212500,0.120833,-0.969661,41.020,54.810,139.386,1715.5
Victoria_intento_1.mp4,14,466.667,True,278.000,187.000,0.000,332.000,157.000,0.225000,0.125000,-0.966307,40.944,54.777,138.970,1702.5
Victoria_intento_1.mp4,15,500.000,True,277.000,189.000,0.000,332.000,157.000,0.229167,0.133333,-0.964212,40.664,54.984,139.408,1703.5
Victoria_intento_1.mp4,16,533.333,True,276.000,190.000,0.000,333.000,156.000,0.237500,0.141667,-0.961002,39.209,54.557,139.609,1647.0
Victoria_intento_1.mp4,17,566.667,True,275.000,192.000,0.000,334.000,155.000,0.245833,0.154167,-0.956974,39.676,54.816,140.823,1672.5
Victoria_intento_1.mp4,18,600.000,True,274.000,193.000,0.000,334.000,154.000,0.250000,0.162500,-0.954512,39.787,54.813,140.091,1675.5
Victoria_intento_1.mp4,19,633.333,True,273.000,194.000,0.000,335.000,154.000,0.258333,0.166667,-0.951570,39.914,55.248,140.547,1689.0
Victoria_intento_1.mp4,20,666.667,True,272.000,195.000,0.000,335.000,154.000,0.262500,0.170833,-0.949689,39.859,55.716,141.457,1697.0
Victoria_intento_1.mp4,21,700.000,True,271.000,196.000,0.000,335.000,154.000,0.266667,0.175000,-0.947768,39.964,55.478,139.921,1704.0
Victoria_intento_1.mp4,22,733.333,True,271.000,197.000,0.000,335.000,154.000,0.266667,0.179167,-0.946989,40.051,55.803,140.169,1712.5
Victoria_intento_1.mp4,23,766.667,True,270.000,198.000,0.000,335.000,154.000,0.270833,0.183333,-0.945007,40.071,55.853,140.331,1718.5
Victoria_intento_1.mp4,24,800.000,True,270.000,199.000,0.000,335.000,154.000,0.270833,0.187500,-0.944189,40.070,55.932,140.533,1730.0
Victoria_intento_1.mp4,25,833.333,True,269.000,199.000,0.000,335.000,154.000,0.275000,0.187500,-0.942984,40.150,55.736,140.753,1729.0
Victoria_intento_1.mp4,26,866.667,True,269.000,200.000,0.000,335.000,154.000,0.275000,0.191667,-0.942146,40.522,55.526,140.915,1737.5
Victoria_intento_1.mp4,27,900.000,True,268.000,201.000,0.000,335.000,154.000,0.279167,0.195833,-0.940061,40.723,55.823,140.878,1739.5
Victoria_intento_1.mp4,28,933.333,True,268.000,201.000,0.000,335.000,154.000,0.279167,0.195833,-0.940061,40.586,55.821,139.953,1741.0
Victoria_intento_1.mp4,29,966.667,True,267.000,202.000,0.000,335.000,154.000,0.283333,0.200000,-0.937935,40.833,56.188,139.161,1751.5
