video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
Victoria_intento_2_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,368.000,255.000,0.200000,-0.062500,-0.977800,48.906,55.485,148.776,2079.5
Victoria_intento_2_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,383.000,262.000,0.262500,-0.091667,-0.960568,46.426,57.740,168.471,2068.5
Victoria_intento_2_ROI_640x480.mp4,3,100.000,True,319.000,286.000,0.000,389.000,263.000,0.291667,0.095833,-0.951707,45.588,58.092,166.510,2049.0
Victoria_intento_2_ROI_640x480.mp4,4,133.333,True,318.000,286.000,0.000,400.000,268.000,0.341667,0.075000,-0.936824,45.703,60.038,168.750,2115.0
Victoria_intento_2_ROI_640x480.mp4,5,166.667,True,317.000,286.000,0.000,401.000,268.000,0.350000,0.075000,-0.933742,45.443,59.866,168.815,2109.0
Victoria_intento_2_ROI_640x480.mp4,6,200.000,True,319.000,285.000,0.000,402.000,268.000,0.345833,0.070833,-0.935618,46.356,59.128,167.475,2113.0
Victoria_intento_2_ROI_640x480.mp4,7,233.333,True,320.000,285.000,0.000,402.000,268.000,0.341667,0.070833,-0.937148,45.375,59.077,169.999,2070.0
Victoria_intento_2_ROI_640x480.mp4,8,266.667,True,322.000,285.000,0.000,402.000,269.000,0.333333,0.066667,-0.940449,45.078,57.153,172.315,1984.0
Victoria_intento_2_ROI_640x480.mp4,9,300.000,True,324.000,284.000,0.000,402.000,269.000,0.325000,0.062500,-0.943647,44.372,56.782,170.242,1949.5
Victoria_intento_2_ROI_640x480.mp4,10,333.333,True,325.000,284.000,0.000,403.000,269.000,0.325000,0.062500,-0.943647,44.487,56.815,169.592,1941.0
Victoria_intento_2_ROI_640x480.mp4,11,366.667,True,327.000,283.000,0.000,403.000,270.000,0.316667,0.054167,-0.946989,42.996,55.992,172.861,1861.0
Victoria_intento_2_ROI_640x480.mp4,12,400.000,True,328.000,283.000,0.000,403.000,271.000,0.312500,0.050000,-0.948601,44.108,56.309,173.525,1920.5
Victoria_intento_2_ROI_640x480.mp4,13,433.333,True,328.000,283.000,0.000,402.000,273.000,0.308333,0.041667,-0.950365,44.222,57.280,168.598,1956.5
Victoria_intento_2_ROI_640x480.mp4,14,466.667,True,329.000,283.000,0.000,402.000,272.000,0.304167,0.045833,-0.951516,43.342,58.599,168.371,1979.0
Victoria_intento_2_ROI_640x480.mp4,15,500.000,True,329.000,283.000,0.000,401.000,272.000,0.300000,0.045833,-0.952838,43.619,57.292,171.115,1939.5
Victoria_intento_2_ROI_640x480.mp4,16,533.333,True,330.000,283.000,0.000,402.000,270.000,0.300000,0.054167,-0.952400,44.256,57.410,165.556,1955.0
Victoria_intento_2_ROI_640x480.mp4,17,566.667,True,330.000,283.000,0.000,401.000,267.000,0.295833,0.066667,-0.952910,45.181,51.830,165.932,1797.5
Victoria_intento_2_ROI_640x480.mp4,18,600.000,False,330.000,283.000,,,,,,,,,,
Victoria_intento_2_ROI_640x480.mp4,19,633.333,True,331.000,282.000,0.000,402.000,262.000,0.295833,0.083333,-0.951598,46.158,56.073,153.034,1966.5
Victoria_intento_2_ROI_640x480.mp4,20,666.667,True,331.000,282.000,0.000,404.000,261.000,0.304167,0.087500,-0.948592,40.380,57.321,167.306,1775.5
Victoria_intento_2_ROI_640x480.mp4,21,700.000,True,331.000,282.000,0.000,407.000,261.000,0.316667,0.087500,-0.944492,40.179,56.035,166.523,1738.5
Victoria_intento_2_ROI_640x480.mp4,22,733.333,True,331.000,282.000,0.000,410.000,264.000,0.329167,0.075000,-0.941289,39.440,57.482,164.281,1758.0
Victoria_intento_2_ROI_640x480.mp4,23,766.667,True,331.000,282.000,0.000,413.000,264.000,0.341667,0.075000,-0.936824,38.456,57.331,165.162,1709.5
Victoria_intento_2_ROI_640x480.mp4,24,800.000,True,332.000,282.000,0.000,416.000,265.000,0.350000,0.070833,-0.934068,36.945,57.529,166.268,1664.5
Victoria_intento_2_ROI_640x480.mp4,25,833.333,True,332.000,282.000,0.000,418.000,265.000,0.358333,0.070833,-0.930903,37.974,58.044,166.616,1690.5
Victoria_intento_2_ROI_640x480.mp4,26,866.667,True,332.000,282.000,0.000,414.000,267.000,0.341667,0.062500,-0.937741,45.814,58.783,167.656,2081.5
Victoria_intento_2_ROI_640x480.mp4,27,900.000,True,332.000,282.000,0.000,410.000,269.000,0.325000,0.054167,-0.944162,46.342,59.171,167.168,2112.0
Victoria_intento_2_ROI_640x480.mp4,28,933.333,True,333.000,282.000,0.000,406.000,272.000,0.304167,0.041667,-0.951707,46.641,59.167,169.791,2133.5
Victoria_intento_2_ROI_640x480.mp4,29,966.667,True,333.000,282.000,0.000,406.000,272.000,0.304167,0.041667,-0.951707,46.586,60.232,167.630,2174.0
Victoria_intento_2_ROI_640x480.mp4,30,1000.000,True,333.000,282.000,0.000,406.000,272.000,0.304167,0.041667,-0.951707,45.481,60.114,169.023,2109.5
Victoria_intento_2_ROI_640x480.mp4,31,1033.333,True,334.000,282.000,0.000,407.000,271.000,0.304167,0.045833,-0.951516,45.299,60.455,167.489,2109.5
Victoria_intento_2_ROI_640x480.mp4,32,1066.667,True,334.000,282.000,0.000,408.000,271.000,0.308333,0.045833,-0.950174,44.998,60.934,168.801,2092.5
Victoria_intento_2_ROI_640x480.mp4,33,1100.000,True,334.000,282.000,0.000,409.000,270.000,0.312500,0.050000,-0.948601,42.273,59.555,170.935,1947.5
Victoria_intento_2_ROI_640x480.mp4,34,1133.333,True,335.000,281.000,0.000,410.000,270.000,0.312500,0.045833,-0.948811,43.927,59.338,170.142,2025.0
Victoria_intento_2_ROI_640x480.mp4,35,1166.667,True,335.000,281.000,0.000,410.000,270.000,0.312500,0.045833,-0.948811,42.287,59.879,170.056,1965.0
Victoria_intento_2_ROI_640x480.mp4,36,1200.000,True,335.000,281.000,0.000,410.000,270.000,0.312500,0.045833,-0.948811,42.152,59.912,170.238,1952.0
Victoria_intento_2_ROI_640x480.mp4,37,1233.333,True,336.000,281.000,0.000,410.000,270.000,0.308333,0.045833,-0.950174,41.570,58.550,169.914,1876.0
Victoria_intento_2_ROI_640x480.mp4,38,1266.667,True,336.000,281.000,0.000,411.000,270.000,0.312500,0.045833,-0.948811,43.322,59.574,167.686,2001.0
Victoria_intento_2_ROI_640x480.mp4,39,1300.000,True,336.000,281.000,0.000,409.000,271.000,0.304167,0.041667,-0.951707,43.876,59.980,168.073,2048.0
Victoria_intento_2_ROI_640x480.mp4,40,1333.333,True,336.000,281.000,0.000,408.000,270.000,0.300000,0.045833,-0.952838,44.677,60.621,166.716,2086.0
Victoria_intento_2_ROI_640x480.mp4,41,1366.667,True,337.000,281.000,0.000,407.000,270.000,0.291667,0.045833,-0.955421,44.746,60.038,167.145,2070.0
Victoria_intento_2_ROI_640x480.mp4,42,1400.000,True,337.000,281.000,0.000,407.000,270.000,0.291667,0.045833,-0.955421,45.358,60.656,166.920,2122.5
Victoria_intento_2_ROI_640x480.mp4,43,1433.333,True,337.000,281.000,0.000,406.000,270.000,0.287500,0.045833,-0.956683,45.517,60.652,167.181,2125.5
Victoria_intento_2_ROI_640x480.mp4,44,1466.667,True,338.000,281.000,0.000,405.000,269.000,0.279167,0.050000,-0.958940,45.490,60.726,167.295,2127.5
Victoria_intento_2_ROI_640x480.mp4,45,1500.000,True,338.000,281.000,0.000,406.000,268.000,0.283333,0.054167,-0.957491,40.369,58.981,163.349,1833.5
Victoria_intento_2_ROI_640x480.mp4,46,1533.333,True,338.000,281.000,0.000,411.000,265.000,0.304167,0.066667,-0.950283,39.417,61.101,164.804,1851.0
Victoria_intento_2_ROI_640x480.mp4,47,1566.667,True,338.000,281.000,0.000,415.000,263.000,0.320833,0.075000,-0.944162,39.392,61.414,165.555,1859.5
Victoria_intento_2_ROI_640x480.mp4,48,1600.000,True,338.000,281.000,0.000,418.000,262.000,0.333333,0.079167,-0.939479,39.181,61.702,167.662,1873.5
Victoria_intento_2_ROI_640x480.mp4,49,1633.333,True,339.000,281.000,0.000,418.000,263.000,0.329167,0.075000,-0.941289,39.229,59.628,168.936,1812.5
Victoria_intento_2_ROI_640x480.mp4,50,1666.667,True,339.000,281.000,0.000,416.000,264.000,0.320833,0.070833,-0.944483,40.520,59.676,169.539,1877.0
