video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,395.000,287.000,402,266,0.285889,-0.179157,0.941366,52.482,86.965,6.485,3541.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,388.000,258.000,385,242,0.256533,-0.067906,0.964147,52.453,118.380,170.649,3074.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,383.000,239.000,358,189,0.236867,0.003760,0.971535,69.746,96.288,13.807,4562.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,379.000,230.000,357,189,0.221533,0.037548,0.974430,69.760,99.171,17.032,4546.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,378.000,224.000,386,216,0.217807,0.060085,0.974141,67.374,98.309,14.143,4346.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,373.000,206.000,386,217,0.199265,0.127831,0.971572,68.268,99.545,13.973,4329.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,396.000,229.000,509,359,0.287674,0.041637,0.956823,43.988,87.553,103.664,1925.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,418.000,259.000,521,363,0.376584,-0.073011,0.923501,61.691,122.489,106.322,4967.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,369.000,261.000,121,232,0.183525,-0.078654,0.979863,89.628,127.072,142.893,5838.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,369.000,260.000,385,209,0.183500,-0.074898,0.980162,67.351,75.625,105.225,3426.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,369.000,259.000,361,174,0.183476,-0.071144,0.980446,69.979,72.835,120.601,3468.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,344.000,229.000,360,179,0.089256,0.040909,0.995168,70.648,77.890,174.832,3668.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,13,433.333,True,320.000,240.000,0.000,322.000,197.000,359,180,0.007466,0.160523,0.987004,68.757,80.863,179.756,3738.0
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,14,466.667,True,320.000,240.000,0.000,371.000,193.000,360,181,0.192307,0.177224,0.965199,69.901,88.710,11.661,3946.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,15,500.000,True,320.000,240.000,0.000,371.000,193.000,360,180,0.192307,0.177224,0.965199,71.405,86.289,3.026,3970.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,16,533.333,True,320.000,240.000,0.000,370.000,193.000,360,181,0.188470,0.177162,0.965967,71.059,88.524,1.632,3907.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,17,566.667,True,320.000,240.000,0.000,371.000,192.000,361,180,0.192371,0.181055,0.964475,70.590,89.434,2.392,4003.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,18,600.000,True,320.000,240.000,0.000,371.000,192.000,362,179,0.192371,0.181055,0.964475,69.428,86.066,3.053,3936.5
grabacion_experimento_ESP32CAM_4_ROI_640x480.mp4,19,633.333,True,320.000,240.000,0.000,371.000,192.000,363,178,0.192371,0.181055,0.964475,69.612,91.099,0.699,3933.5
