video_name,frame_number,timestamp_ms,valid_deteccion,sphere_center_x,sphere_center_y,sphere_center_z,pupil_center_x,pupil_center_y,darkest_pixel_x,darkest_pixel_y,gaze_x,gaze_y,gaze_z,ellipse_width,ellipse_height,ellipse_angle,contour_area
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,1,33.333,True,320.000,240.000,0.000,533.000,244.000,554,240,0.000000,0.000000,-1.000000,77.344,154.102,17.139,8919.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,2,66.667,True,320.000,240.000,0.000,532.000,245.000,555,244,0.000000,0.000000,-1.000000,77.682,156.190,17.203,9114.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,3,100.000,True,320.000,240.000,0.000,532.000,245.000,555,245,0.000000,0.000000,-1.000000,76.769,155.755,17.813,9000.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,4,133.333,True,320.000,240.000,0.000,532.000,246.000,554,247,0.000000,0.000000,-1.000000,77.854,157.180,17.316,9135.5
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,5,166.667,True,320.000,240.000,0.000,532.000,246.000,555,245,0.000000,0.000000,-1.000000,77.934,156.195,17.627,9133.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,6,200.000,True,320.000,240.000,0.000,532.000,248.000,552,244,0.000000,0.000000,-1.000000,79.041,158.090,17.772,9353.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,7,233.333,True,320.000,240.000,0.000,532.000,248.000,554,246,0.000000,0.000000,-1.000000,78.353,156.649,18.138,9229.5
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,8,266.667,True,320.000,240.000,0.000,531.000,249.000,553,244,0.000000,0.000000,-1.000000,79.258,156.853,18.366,9369.5
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,9,300.000,True,320.000,240.000,0.000,531.000,247.000,553,241,0.000000,0.000000,-1.000000,77.419,154.582,17.161,9030.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,10,333.333,True,320.000,240.000,0.000,532.000,245.000,556,240,0.000000,0.000000,-1.000000,77.641,159.028,17.084,9288.0
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,11,366.667,True,320.000,240.000,0.000,532.000,243.000,549,237,0.000000,0.000000,-1.000000,76.582,160.610,17.440,9286.5
grabacion_experimento_ESP32CAM_7_ROI_640x480.mp4,12,400.000,True,320.000,240.000,0.000,533.000,241.000,552,238,0.000000,0.000000,-1.000000,78.871,157.838,18.055,9322.0
