Video,Frame,Timestamp_s,Face_Detected,ROI_Valid,Iris_Center_X_Original,Iris_Center_Y_Original,Iris_Left_X_Original,Iris_Left_Y_Original,Iris_Right_X_Original,Iris_Right_Y_Original,Iris_Center_X_ROI,Iris_Center_Y_ROI,Iris_Left_X_ROI,Iris_Left_Y_ROI,Iris_Right_X_ROI,Iris_Right_Y_ROI,Iris_Diameter_px_ROI,Video_FPS
Data_Victor_1.avi,1,0.0333,True,True,614,240,623,241,606,239,188,126,240,132,142,120,98,30.0
Data_Victor_1.avi,2,0.0667,True,True,614,240,623,241,606,239,194,126,245,132,148,120,97,30.0
Data_Victor_1.avi,3,0.1,True,True,614,240,623,241,605,239,197,126,249,132,144,120,105,30.0
Data_Victor_1.avi,4,0.1333,True,True,613,241,622,242,605,240,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,5,0.1667,True,True,612,241,621,242,604,240,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,6,0.2,True,True,612,241,621,242,604,240,200,126,251,132,154,120,97,30.0
Data_Victor_1.avi,7,0.2333,True,True,611,241,620,242,603,240,200,122,251,128,154,117,97,30.0
Data_Victor_1.avi,8,0.2667,True,True,610,241,619,242,602,240,197,122,249,128,150,117,99,30.0
Data_Victor_1.avi,9,0.3,True,True,609,241,618,242,601,240,197,122,249,128,150,117,99,30.0
Data_Victor_1.avi,10,0.3333,True,True,608,241,617,242,600,240,197,122,249,128,150,117,99,30.0
Data_Victor_1.avi,11,0.3667,True,True,607,241,616,242,599,240,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,12,0.4,True,True,607,241,616,242,599,240,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,13,0.4333,True,True,607,241,615,242,599,240,202,126,249,132,156,120,93,30.0
Data_Victor_1.avi,14,0.4667,True,True,606,240,615,241,598,240,197,120,249,126,150,120,99,30.0
Data_Victor_1.avi,15,0.5,True,True,606,240,615,241,598,239,197,122,249,128,150,117,99,30.0
Data_Victor_1.avi,16,0.5333,True,True,607,239,615,240,599,239,202,120,249,126,156,120,93,30.0
Data_Victor_1.avi,17,0.5667,True,True,607,239,616,240,599,239,197,120,249,126,150,120,99,30.0
Data_Victor_1.avi,18,0.6,True,True,607,239,616,240,599,239,197,122,249,128,150,122,99,30.0
Data_Victor_1.avi,19,0.6333,True,True,608,239,616,240,600,239,202,126,249,132,156,126,93,30.0
Data_Victor_1.avi,20,0.6667,True,True,608,239,617,240,600,238,197,122,249,128,150,117,99,30.0
Data_Victor_1.avi,21,0.7,True,True,608,239,617,240,600,238,197,126,249,132,150,120,99,30.0
Data_Victor_1.avi,22,0.7333,True,True,609,239,617,240,601,238,202,126,249,132,156,120,93,30.0
