event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_6,sacadico,sacadico,233.333,333.333,100.00000000000003,3.4833007792905915,43.462734552358164
s_23,sacadico,sacadico,800.0,900.0,100.0,4.670583470686616,44.116703263625894
s_67,sacadico,sacadico,2266.667,2366.667,100.0,4.701241539806493,45.02410758347156
s_111,sacadico,sacadico,3733.333,3833.333,100.0,6.470144002543987,77.48814553504005
s_161,sacadico,sacadico,5400.0,5500.0,100.0,7.955262012603471,84.98832590795377
s_212,sacadico,sacadico,7100.0,7200.0,100.0,20.48014420397987,198.8176179535444
s_260,sacadico,sacadico,8700.0,8800.0,100.0,7.590866002879215,75.74111800753501
s_275,sacadico,sacadico,9200.0,9333.333,133.33300000000054,5.044098870002725,37.76696041676539
s_308,sacadico,sacadico,10300.0,10400.0,100.0,10.05564831207996,94.35728138200456
s_357,sacadico,sacadico,11933.333,12033.333,100.0,19.98911916979236,208.70927083715088
s_405,sacadico,sacadico,13533.333,13633.333,100.0,7.042009065122073,79.6681468923802
s_451,sacadico,sacadico,15066.667,15166.667,100.0,7.10039349774566,79.59956434535599
