event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,2633.333,2600.0,0.0,-0.033600990606556476
f_2,fijacion,fijacion_valida,2766.667,3766.667,1000.0,0.0,6.6503769513244775
f_3,fijacion,fijacion_valida,3933.333,5266.667,1333.3340000000003,0.0,9.049863804002563
f_4,fijacion,fijacion_valida,5400.0,6000.0,600.0,0.0,6.516660513711565
f_6,fijacion,fijacion_valida,6666.667,7866.667,1200.0,0.0,4.1693077534160095
f_8,fijacion,fijacion_valida,8166.667,9366.667,1199.999999999999,0.0,2.8383271107091637
f_9,fijacion,fijacion_valida,9500.0,10200.0,700.0,0.0,7.614020433229552
f_10,fijacion,fijacion_valida,10400.0,12266.667,1866.6669999999995,0.0,4.566139426160659
f_11,fijacion,fijacion_valida,12400.0,13433.333,1033.3330000000005,0.0,3.62626303943294
f_12,fijacion,fijacion_valida,13600.0,14600.0,1000.0,0.0,5.099055774226649
