event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_2,sacadico,sacadico,100.0,200.0,100.0,5.091406422533274,52.86309990981111
s_29,sacadico,sacadico,1000.0,1066.667,66.66699999999992,10.631795091850693,122.03049769045623
s_33,sacadico,sacadico,1133.333,1200.0,66.66699999999992,1.9886218922201642,100.24016575919136
s_65,sacadico,sacadico,2200.0,2300.0,100.0,4.865437369690589,53.44927398111261
s_101,sacadico,sacadico,3400.0,3500.0,100.0,5.0987052639928585,49.754112111681906
s_175,sacadico,sacadico,5866.667,5966.667,100.0,11.376145520712186,117.64395724837085
s_209,sacadico,sacadico,7000.0,7100.0,100.0,5.535822850644873,76.84119892583846
s_248,sacadico,sacadico,8300.0,8400.0,100.0,3.835356074410886,42.502930264094196
s_283,sacadico,sacadico,9466.667,9533.333,66.66600000000108,90.0,151.44196160281513
s_287,sacadico,sacadico,9600.0,9666.667,66.66699999999946,7.323452110011843,125.1590720105104
s_320,sacadico,sacadico,10700.0,10800.0,100.0,6.188147963806461,72.71101268392727
s_356,sacadico,sacadico,11900.0,12033.333,133.33300000000054,6.738195218549099,47.921161507198455
