event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
s_53,sacadico,sacadico,1800.0,1900.0,100.0,3.5435124498175385,50.49239345223101
s_59,sacadico,sacadico,2000.0,2100.0,100.0,3.7323172205923045,47.73904616648677
s_71,sacadico,sacadico,2400.0,2500.0,100.0,6.847102435544155,72.73466697244415
s_119,sacadico,sacadico,4000.0,4100.0,100.0,4.6777240893272385,67.02692827557084
s_168,sacadico,sacadico,5633.333,5733.333,100.0,6.697444004244833,97.44857275876639
s_218,sacadico,sacadico,7300.0,7366.667,66.66700000000037,90.0,75.25946068542017
s_222,sacadico,sacadico,7433.333,7500.0,66.66700000000037,3.1898285508949282,125.01699995958836
s_271,sacadico,sacadico,9066.667,9166.667,100.0,12.939567404162254,119.88249397953238
s_320,sacadico,sacadico,10700.0,10800.0,100.0,14.502252769822706,133.34760907477784
s_373,sacadico,sacadico,12466.667,12566.667,100.0,18.100581905331744,202.00659573172916
s_426,sacadico,sacadico,14233.333,14333.333,100.0,10.261259444654772,114.4209430340436
s_478,sacadico,sacadico,15966.667,16066.667,100.0,13.680874467281454,126.69760391008523
