event_id,event_type,event_class,start_time_ms,end_time_ms,duration_ms,amplitude_deg,velocidad_promedio_deg_s
f_1,fijacion,fijacion_valida,33.333,1733.333,1700.0,0.0,7.1016804954603385
f_3,fijacion,fijacion_valida,2100.0,2466.667,366.6669999999999,0.0,7.247580289874649
f_4,fijacion,fijacion_valida,2633.333,3933.333,1300.0,0.0,5.112801043634555
f_5,fijacion,fijacion_valida,4133.333,5566.667,1433.3340000000007,0.0,5.669684619426462
f_7,fijacion,fijacion_valida,5933.333,7300.0,1366.6670000000004,0.0,5.885094431647738
f_8,fijacion,fijacion_valida,7533.333,8866.667,1333.3339999999998,0.0,4.08140921373392
f_9,fijacion,fijacion_valida,9066.667,10766.667,1700.0,0.0,8.831669492873608
f_11,fijacion,fijacion_valida,11166.667,12500.0,1333.3330000000005,0.0,3.9435550408364084
f_12,fijacion,fijacion_valida,12700.0,14233.333,1533.3330000000005,0.0,6.108670956292572
f_13,fijacion,fijacion_valida,14433.333,15933.333,1500.0,0.0,3.789283226963323
f_14,fijacion,fijacion_valida,16100.0,17033.333,933.3329999999987,0.0,5.760574002146598
