Frame,Tiempo(s),EAR_Original,EAR_Mejorado,Diferencia
0,0.00,0.303255,0.230423,0.072832
1,0.03,0.305034,0.232720,0.072315
2,0.07,0.305645,0.233170,0.072475
3,0.10,0.301192,0.230046,0.071146
4,0.13,0.299290,0.228737,0.070553
5,0.17,0.299777,0.229021,0.070755
6,0.20,0.298336,0.227909,0.070427
7,0.23,0.297098,0.227008,0.070089
8,0.27,0.301697,0.230326,0.071371
9,0.30,0.301209,0.229970,0.071239
10,0.33,0.300555,0.229493,0.071061
11,0.37,0.301065,0.229826,0.071239
12,0.40,0.301690,0.230315,0.071375
13,0.43,0.302629,0.230918,0.071711
14,0.47,0.303573,0.231673,0.071901
15,0.50,0.303689,0.231833,0.071856
16,0.53,0.302368,0.230805,0.071563
17,0.57,0.301967,0.230540,0.071427
18,0.60,0.302293,0.230693,0.071600
19,0.63,0.304374,0.232230,0.072144
20,0.67,0.306181,0.233569,0.072612
21,0.70,0.306169,0.233534,0.072635
22,0.73,0.307170,0.234351,0.072819
23,0.77,0.307377,0.234418,0.072959
24,0.80,0.307576,0.234547,0.073029
25,0.83,0.307015,0.234151,0.072864
26,0.87,0.305024,0.232682,0.072342
27,0.90,0.305228,0.232811,0.072417
28,0.93,0.304314,0.232106,0.072208
29,0.97,0.303968,0.231849,0.072119
30,1.00,0.303825,0.231714,0.072111
31,1.03,0.308658,0.235542,0.073116
32,1.07,0.308438,0.235346,0.073092
33,1.10,0.308135,0.235130,0.073005
34,1.13,0.308953,0.235802,0.073151
35,1.17,0.308622,0.235483,0.073139
36,1.20,0.309660,0.236223,0.073438
37,1.23,0.309907,0.236360,0.073547
38,1.27,0.309575,0.236157,0.073417
39,1.30,0.309970,0.236426,0.073544
40,1.33,0.304358,0.232232,0.072126
41,1.37,0.268048,0.205212,0.062836
42,1.40,0.205648,0.158916,0.046732
43,1.43,0.067660,0.055227,0.012433
44,1.47,0.043552,0.035376,0.008176
45,1.50,0.038460,0.032300,0.006160
46,1.53,0.037457,0.031708,0.005749
47,1.57,0.038065,0.032252,0.005812
48,1.60,0.036424,0.030805,0.005620
49,1.63,0.033351,0.029846,0.003504
50,1.67,0.154882,0.121176,0.033707
51,1.70,0.200748,0.155053,0.045696
52,1.73,0.225625,0.173249,0.052376
53,1.77,0.248343,0.190106,0.058237
54,1.80,0.256070,0.195998,0.060072
55,1.83,0.262154,0.200559,0.061595
56,1.87,0.264855,0.202612,0.062243
57,1.90,0.268427,0.205367,0.063060
58,1.93,0.274330,0.209814,0.064516
59,1.97,0.275559,0.210743,0.064816
60,2.00,0.275771,0.210929,0.064841
61,2.03,0.281233,0.215050,0.066183
62,2.07,0.286504,0.218995,0.067510
63,2.10,0.289312,0.221016,0.068296
64,2.13,0.292755,0.223572,0.069183
65,2.17,0.295268,0.225527,0.069741
66,2.20,0.295937,0.225987,0.069951
67,2.23,0.297296,0.227034,0.070262
68,2.27,0.299498,0.228707,0.070791
69,2.30,0.301854,0.230492,0.071362
70,2.33,0.303961,0.232082,0.071879
71,2.37,0.302138,0.230655,0.071483
72,2.40,0.301263,0.229993,0.071270
73,2.43,0.300735,0.229635,0.071100
74,2.47,0.300439,0.229474,0.070965
75,2.50,0.302021,0.230627,0.071394
76,2.53,0.302822,0.231186,0.071636
77,2.57,0.303679,0.231846,0.071834
78,2.60,0.303056,0.231381,0.071675
79,2.63,0.303436,0.231629,0.071807
80,2.67,0.303707,0.231896,0.071811
81,2.70,0.302167,0.230717,0.071450
82,2.73,0.303817,0.232000,0.071817
83,2.77,0.303214,0.231497,0.071716
84,2.80,0.305541,0.233297,0.072244
85,2.83,0.305598,0.233234,0.072364
86,2.87,0.305748,0.233362,0.072386
87,2.90,0.305948,0.233476,0.072472
88,2.93,0.306905,0.234211,0.072694
89,2.97,0.303092,0.231413,0.071679
90,3.00,0.242002,0.185812,0.056190
91,3.03,0.062893,0.051012,0.011881
92,3.07,0.043587,0.035419,0.008168
93,3.10,0.034465,0.029629,0.004837
94,3.13,0.039194,0.032839,0.006355
95,3.17,0.042339,0.035194,0.007145
96,3.20,0.033429,0.029370,0.004060
97,3.23,0.040400,0.033508,0.006892
98,3.27,0.040218,0.034497,0.005721
99,3.30,0.117314,0.092726,0.024588
100,3.33,0.185086,0.143208,0.041878
101,3.37,0.217924,0.167699,0.050224
102,3.40,0.250077,0.191518,0.058559
103,3.43,0.266033,0.203414,0.062618
104,3.47,0.273282,0.208826,0.064456
105,3.50,0.275250,0.210311,0.064939
106,3.53,0.281381,0.214946,0.066435
107,3.57,0.286884,0.219085,0.067799
108,3.60,0.289118,0.220844,0.068274
109,3.63,0.290737,0.222074,0.068663
110,3.67,0.296217,0.226132,0.070085
111,3.70,0.298926,0.228127,0.070799
112,3.73,0.302999,0.231183,0.071816
113,3.77,0.303109,0.231272,0.071837
114,3.80,0.304877,0.232557,0.072320
115,3.83,0.306639,0.233900,0.072739
116,3.87,0.307262,0.234395,0.072866
117,3.90,0.304220,0.232259,0.071962
118,3.93,0.305314,0.233006,0.072309
119,3.97,0.307701,0.234807,0.072894
120,4.00,0.305405,0.233060,0.072345
121,4.03,0.306508,0.233910,0.072597
122,4.07,0.308192,0.235170,0.073022
123,4.10,0.308810,0.235670,0.073139
124,4.13,0.308370,0.235351,0.073019
125,4.17,0.309959,0.236499,0.073460
126,4.20,0.308953,0.235748,0.073205
127,4.23,0.309368,0.236039,0.073329
128,4.27,0.310541,0.236945,0.073596
129,4.30,0.310662,0.236978,0.073684
130,4.33,0.310668,0.237050,0.073618
131,4.37,0.313696,0.239284,0.074412
132,4.40,0.314113,0.239586,0.074528
133,4.43,0.313528,0.239168,0.074360
134,4.47,0.315525,0.240693,0.074832
135,4.50,0.318033,0.242542,0.075492
136,4.53,0.317289,0.241991,0.075298
137,4.57,0.316095,0.241142,0.074954
138,4.60,0.315490,0.240673,0.074817
139,4.63,0.316854,0.241717,0.075138
140,4.67,0.318858,0.243213,0.075645
141,4.70,0.320447,0.244426,0.076020
142,4.73,0.318574,0.242978,0.075596
143,4.77,0.317564,0.242179,0.075384
144,4.80,0.318890,0.243152,0.075738
145,4.83,0.318661,0.242980,0.075681
146,4.87,0.316766,0.241568,0.075198
147,4.90,0.310939,0.237175,0.073764
148,4.93,0.228820,0.175980,0.052840
149,4.97,0.088632,0.070873,0.017759
150,5.00,0.039480,0.033433,0.006047
151,5.03,0.041884,0.033963,0.007921
152,5.07,0.052800,0.041506,0.011294
153,5.10,0.045361,0.036512,0.008849
154,5.13,0.043915,0.036023,0.007891
155,5.17,0.034358,0.029806,0.004553
156,5.20,0.033795,0.030645,0.003149
157,5.23,0.072885,0.059372,0.013513
158,5.27,0.152673,0.119364,0.033310
159,5.30,0.196907,0.152187,0.044720
160,5.33,0.227063,0.174553,0.052510
161,5.37,0.250055,0.191679,0.058376
162,5.40,0.267304,0.204555,0.062749
163,5.43,0.278672,0.213079,0.065592
164,5.47,0.287174,0.219425,0.067750
165,5.50,0.290568,0.222014,0.068554
166,5.53,0.291956,0.223055,0.068901
167,5.57,0.292017,0.223068,0.068949
168,5.60,0.293440,0.224131,0.069309
169,5.63,0.293963,0.224513,0.069450
170,5.67,0.296583,0.226509,0.070074
171,5.70,0.298393,0.227874,0.070519
172,5.73,0.297536,0.227201,0.070335
