Tiempo_s,Frame_Index,EAR_Crudo,EAR_Suavizado,Velocidad_dEAR_dt,Aceleracion_d2EAR_dt2,Blink_Detectado
0.000000,0,0.259184,0.257723,0.000000,0.000000,False
0.033333,1,0.237885,0.241602,-0.016121,-0.016121,False
0.066667,2,0.241537,0.240043,-0.001558,0.014563,False
0.100000,3,0.246305,0.244341,0.004298,0.005856,False
0.133333,4,0.246183,0.240493,-0.003848,-0.008146,False
0.166667,5,0.232842,0.227834,-0.012659,-0.008811,False
0.200000,6,0.206547,0.216600,-0.011233,0.001426,False
0.233333,7,0.208142,0.212256,-0.004345,0.006889,False
0.266667,8,0.221012,0.214677,0.002421,0.006766,False
0.300000,9,0.226045,0.223255,0.008578,0.006157,False
0.333333,10,0.224633,0.229754,0.006500,-0.002078,False
0.366667,11,0.235923,0.235638,0.005883,-0.000616,False
0.400000,12,0.243470,0.241884,0.006246,0.000363,False
0.433333,13,0.248281,0.246785,0.004901,-0.001345,False
0.466667,14,0.246322,0.246552,-0.000234,-0.005135,False
0.500000,15,0.245359,0.246395,-0.000157,0.000076,False
0.533333,16,0.244403,0.246114,-0.000281,-0.000123,False
0.566667,17,0.250140,0.247762,0.001647,0.001928,False
0.600000,18,0.247950,0.249309,0.001548,-0.000100,False
0.633333,19,0.250837,0.249778,0.000469,-0.001079,False
0.666667,20,0.249025,0.248325,-0.001454,-0.001923,False
0.700000,21,0.247788,0.249142,0.000817,0.002271,False
0.733333,22,0.248669,0.250514,0.001372,0.000555,False
0.766667,23,0.254842,0.252118,0.001604,0.000232,False
0.800000,24,0.254921,0.254539,0.002421,0.000817,False
0.833333,25,0.252915,0.256449,0.001910,-0.000511,False
0.866667,26,0.257502,0.254193,-0.002256,-0.004166,False
0.900000,27,0.254295,0.252433,-0.001760,0.000497,False
0.933333,28,0.244785,0.249265,-0.003168,-0.001408,False
0.966667,29,0.248576,0.245870,-0.003395,-0.000227,False
1.000000,30,0.243660,0.245226,-0.000644,0.002752,False
1.033333,31,0.246907,0.246131,0.000905,0.001549,False
1.066667,32,0.248021,0.248203,0.002071,0.001166,False
1.100000,33,0.249298,0.251824,0.003621,0.001550,False
1.133333,34,0.256865,0.252462,0.000638,-0.002983,False
1.166667,35,0.252773,0.252395,-0.000067,-0.000705,False
1.200000,36,0.248913,0.253729,0.001334,0.001401,False
1.233333,37,0.252887,0.250580,-0.003150,-0.004484,False
1.266667,38,0.257149,0.252224,0.001644,0.004794,False
1.300000,39,0.245741,0.256166,0.003942,0.002298,False
1.333333,40,0.263110,0.257636,0.001470,-0.002472,False
1.366667,41,0.262817,0.258408,0.000772,-0.000698,False
1.400000,42,0.255773,0.260122,0.001714,0.000942,False
1.433333,43,0.257876,0.259497,-0.000626,-0.002340,False
1.466667,44,0.261502,0.262635,0.003138,0.003764,False
1.500000,45,0.267180,0.262529,-0.000105,-0.003243,False
1.533333,46,0.261566,0.258355,-0.004175,-0.004070,False
1.566667,47,0.245956,0.252409,-0.005945,-0.001771,False
1.600000,48,0.247753,0.247553,-0.004856,0.001089,False
1.633333,49,0.248173,0.247018,-0.000535,0.004321,False
1.666667,50,0.250035,0.249889,0.002871,0.003406,False
1.700000,51,0.250441,0.250723,0.000834,-0.002037,False
1.733333,52,0.251315,0.250247,-0.000475,-0.001309,False
1.766667,53,0.249780,0.249249,-0.000998,-0.000523,False
