timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1764698332.3241,0.0000,960,540,0
1764698332.3414,0.0173,960,540,1
1764698332.3595,0.0353,960,540,2
1764698332.3756,0.0515,960,540,3
1764698332.3923,0.0682,960,540,4
1764698332.4089,0.0848,960,540,5
1764698332.4257,0.1016,960,540,6
1764698332.4432,0.1191,960,540,7
1764698332.4584,0.1343,960,540,8
1764698332.4754,0.1513,960,540,9
1764698332.4925,0.1683,960,540,10
1764698332.5094,0.1853,960,540,11
1764698332.5256,0.2015,960,540,12
1764698332.5429,0.2188,960,540,13
1764698332.5595,0.2353,960,540,14
1764698332.5749,0.2508,960,540,15
1764698332.5922,0.2681,960,540,16
1764698332.6092,0.2851,960,540,17
1764698332.6259,0.3018,960,540,18
1764698332.6425,0.3184,960,540,19
1764698332.6586,0.3345,960,540,20
1764698332.6757,0.3516,960,540,21
1764698332.6928,0.3686,960,540,22
1764698332.7090,0.3849,960,540,23
1764698332.7252,0.4011,960,540,24
1764698332.7421,0.4180,960,540,25
1764698332.7577,0.4336,960,540,26
1764698332.7754,0.4513,960,540,27
1764698332.7925,0.4683,960,540,28
1764698332.8089,0.4848,960,540,29
1764698332.8256,0.5015,960,540,30
1764698332.8425,0.5184,960,540,31
1764698332.8587,0.5346,960,540,32
1764698332.8750,0.5509,960,540,33
1764698332.8927,0.5686,960,540,34
1764698332.9086,0.5845,960,540,35
1764698332.9260,0.6019,960,540,36
1764698332.9417,0.6176,960,540,37
1764698332.9594,0.6353,960,540,38
1764698332.9752,0.6511,960,540,39
1764698332.9925,0.6684,960,540,40
1764698333.0084,0.6843,960,540,41
1764698333.0251,0.7009,960,540,42
1764698333.0429,0.7188,960,540,43
1764698333.0585,0.7344,960,540,44
1764698333.0750,0.7509,960,540,45
1764698333.0924,0.7682,960,540,46
1764698333.1090,0.7849,960,540,47
1764698333.1252,0.8011,960,540,48
1764698333.1424,0.8183,960,540,49
1764698333.1582,0.8341,960,540,50
1764698333.1754,0.8513,960,540,51
1764698333.1924,0.8682,960,540,52
1764698333.2093,0.8851,960,540,53
1764698333.2254,0.9013,960,540,54
1764698333.2427,0.9186,960,540,55
1764698333.2587,0.9345,960,540,56
1764698333.2757,0.9516,960,540,57
1764698333.2923,0.9682,960,540,58
1764698333.3091,0.9850,960,540,59
1764698333.3256,1.0015,960,540,60
1764698333.3416,1.0175,960,540,61
1764698333.3587,1.0345,960,540,62
1764698333.3750,1.0508,960,540,63
1764698333.3917,1.0675,960,540,64
1764698333.4093,1.0851,960,540,65
1764698333.4252,1.1011,960,540,66
1764698333.4426,1.1185,960,540,67
1764698333.4591,1.1350,960,540,68
1764698333.4751,1.1510,960,540,69
1764698333.4919,1.1678,960,540,70
1764698333.5087,1.1846,960,540,71
1764698333.5257,1.2016,960,540,72
1764698333.5424,1.2183,960,540,73
1764698333.5584,1.2343,960,540,74
1764698333.5756,1.2515,960,540,75
1764698333.5917,1.2676,960,540,76
1764698333.6094,1.2853,960,540,77
1764698333.6251,1.3010,960,540,78
1764698333.6431,1.3189,960,540,79
1764698333.6593,1.3352,960,540,80
1764698333.6755,1.3514,960,540,81
1764698333.6929,1.3687,960,540,82
1764698333.7090,1.3849,960,540,83
1764698333.7260,1.4019,960,540,84
1764698333.7427,1.4186,960,540,85
1764698333.7596,1.4354,960,540,86
1764698333.7762,1.4520,960,540,87
1764698333.7917,1.4675,960,540,88
1764698333.8087,1.4846,960,540,89
1764698333.8258,1.5016,960,540,90
1764698333.8426,1.5185,960,540,91
1764698333.8595,1.5354,960,540,92
1764698333.8760,1.5519,960,540,93
1764698333.8918,1.5677,960,540,94
1764698333.9084,1.5842,960,540,95
1764698333.9257,1.6016,960,540,96
1764698333.9423,1.6182,960,540,97
1764698333.9588,1.6347,960,540,98
1764698333.9760,1.6519,960,540,99
1764698333.9915,1.6674,960,540,100
1764698334.0086,1.6845,960,540,101
1764698334.0250,1.7009,960,540,102
1764698334.0425,1.7184,960,540,103
1764698334.0592,1.7351,960,540,104
1764698334.0762,1.7521,960,540,105
1764698334.0926,1.7684,960,540,106
1764698334.1086,1.7845,960,540,107
1764698334.1252,1.8011,960,540,108
1764698334.1423,1.8182,960,540,109
1764698334.1588,1.8347,960,540,110
1764698334.1756,1.8515,960,540,111
1764698334.1917,1.8676,960,540,112
1764698334.2092,1.8851,960,540,113
1764698334.2250,1.9009,960,540,114
1764698334.2427,1.9186,960,540,115
1764698334.2589,1.9347,960,540,116
1764698334.2753,1.9512,960,540,117
1764698334.2924,1.9683,960,540,118
1764698334.3085,1.9844,960,540,119
1764698334.3256,2.0015,960,540,120
1764698334.3428,2.0187,960,540,121
1764698334.3590,2.0349,960,540,122
1764698334.3762,2.0520,960,540,123
1764698334.3916,2.0675,960,540,124
1764698334.4092,2.0851,960,540,125
1764698334.4253,2.1011,960,540,126
1764698334.4429,2.1187,960,540,127
