timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1764698702.8224,0.0000,320,180,0
1764698702.8583,0.0359,320,180,1
1764698702.8902,0.0678,320,180,2
1764698702.9233,0.1010,320,180,3
1764698702.9568,0.1345,320,180,4
1764698702.9900,0.1676,320,180,5
1764698703.0241,0.2018,320,180,6
1764698703.0585,0.2361,320,180,7
1764698703.0904,0.2681,320,180,8
1764698703.1243,0.3020,320,180,9
1764698703.1579,0.3356,320,180,10
1764698703.1897,0.3673,320,180,11
1764698703.2219,0.3996,320,180,12
1764698703.2585,0.4361,320,180,13
1764698703.2904,0.4680,320,180,14
1764698703.3216,0.4993,320,180,15
1764698703.3583,0.5359,320,180,16
1764698703.3903,0.5679,320,180,17
1764698703.4222,0.5999,320,180,18
1764698703.4576,0.6353,320,180,19
1764698703.4896,0.6673,320,180,20
1764698703.5224,0.7000,320,180,21
1764698703.5577,0.7353,320,180,22
1764698703.5900,0.7677,320,180,23
1764698703.6222,0.7999,320,180,24
1764698703.6583,0.8359,320,180,25
1764698703.6897,0.8673,320,180,26
1764698703.7234,0.9010,320,180,27
1764698703.7576,0.9352,320,180,28
1764698703.7900,0.9676,320,180,29
1764698703.8214,0.9990,320,180,30
1764698703.8578,1.0354,320,180,31
1764698703.8898,1.0675,320,180,32
1764698703.9217,1.0993,320,180,33
1764698703.9583,1.1359,320,180,34
1764698703.9901,1.1678,320,180,35
1764698704.0233,1.2009,320,180,36
1764698704.0581,1.2357,320,180,37
1764698704.0897,1.2673,320,180,38
1764698704.1219,1.2995,320,180,39
1764698704.1578,1.3354,320,180,40
1764698704.1895,1.3671,320,180,41
1764698704.2215,1.3992,320,180,42
1764698704.2572,1.4348,320,180,43
1764698704.2900,1.4676,320,180,44
1764698704.3233,1.5009,320,180,45
1764698704.3574,1.5350,320,180,46
1764698704.3899,1.5676,320,180,47
1764698704.4217,1.5994,320,180,48
1764698704.4580,1.6356,320,180,49
1764698704.4902,1.6679,320,180,50
1764698704.5215,1.6991,320,180,51
1764698704.5576,1.7352,320,180,52
1764698704.5897,1.7673,320,180,53
1764698704.6217,1.7993,320,180,54
1764698704.6584,1.8361,320,180,55
1764698704.6894,1.8670,320,180,56
1764698704.7236,1.9012,320,180,57
1764698704.7583,1.9359,320,180,58
1764698704.7898,1.9675,320,180,59
1764698704.8224,2.0000,960,180,60
1764698704.8582,2.0358,960,180,61
1764698704.8896,2.0672,960,180,62
1764698704.9218,2.0994,960,180,63
1764698704.9577,2.1353,960,180,64
1764698704.9893,2.1669,960,180,65
1764698705.0221,2.1998,960,180,66
1764698705.0583,2.2360,960,180,67
1764698705.0894,2.2670,960,180,68
1764698705.1225,2.3001,960,180,69
1764698705.1581,2.3357,960,180,70
1764698705.1903,2.3679,960,180,71
1764698705.2218,2.3994,960,180,72
1764698705.2575,2.4351,960,180,73
1764698705.2900,2.4677,960,180,74
1764698705.3223,2.4999,960,180,75
1764698705.3574,2.5350,960,180,76
1764698705.3901,2.5677,960,180,77
1764698705.4216,2.5993,960,180,78
1764698705.4577,2.6353,960,180,79
1764698705.4894,2.6670,960,180,80
1764698705.5232,2.7008,960,180,81
1764698705.5580,2.7357,960,180,82
1764698705.5892,2.7669,960,180,83
1764698705.6213,2.7989,960,180,84
1764698705.6574,2.8351,960,180,85
1764698705.6899,2.8675,960,180,86
1764698705.7223,2.8999,960,180,87
1764698705.7582,2.9358,960,180,88
1764698705.7897,2.9673,960,180,89
1764698705.8239,3.0016,960,180,90
1764698705.8575,3.0352,960,180,91
1764698705.8898,3.0675,960,180,92
1764698705.9236,3.1013,960,180,93
1764698705.9573,3.1350,960,180,94
1764698705.9902,3.1679,960,180,95
1764698706.0218,3.1994,960,180,96
1764698706.0575,3.2352,960,180,97
1764698706.0902,3.2678,960,180,98
1764698706.1237,3.3013,960,180,99
1764698706.1578,3.3354,960,180,100
1764698706.1900,3.3676,960,180,101
1764698706.2235,3.4011,960,180,102
1764698706.2574,3.4350,960,180,103
1764698706.2901,3.4678,960,180,104
1764698706.3219,3.4995,960,180,105
1764698706.3574,3.5351,960,180,106
1764698706.3893,3.5669,960,180,107
1764698706.4218,3.5994,960,180,108
1764698706.4574,3.6351,960,180,109
1764698706.4898,3.6674,960,180,110
1764698706.5229,3.7005,960,180,111
1764698706.5580,3.7356,960,180,112
1764698706.5897,3.7673,960,180,113
1764698706.6220,3.7996,960,180,114
1764698706.6579,3.8355,960,180,115
1764698706.6900,3.8677,960,180,116
1764698706.7243,3.9019,960,180,117
1764698706.7581,3.9357,960,180,118
1764698706.7897,3.9673,960,180,119
1764698706.8215,3.9992,1600,180,120
1764698706.8581,4.0357,1600,180,121
1764698706.8902,4.0678,1600,180,122
1764698706.9239,4.1016,1600,180,123
1764698706.9573,4.1349,1600,180,124
1764698706.9898,4.1674,1600,180,125
1764698707.0238,4.2014,1600,180,126
1764698707.0582,4.2358,1600,180,127
1764698707.0902,4.2679,1600,180,128
1764698707.1223,4.2999,1600,180,129
1764698707.1575,4.3352,1600,180,130
1764698707.1897,4.3673,1600,180,131
1764698707.2232,4.4009,1600,180,132
1764698707.2583,4.4360,1600,180,133
1764698707.2896,4.4672,1600,180,134
1764698707.3213,4.4989,1600,180,135
1764698707.3572,4.5349,1600,180,136
1764698707.3899,4.5676,1600,180,137
1764698707.4219,4.5995,1600,180,138
1764698707.4573,4.6349,1600,180,139
1764698707.4895,4.6671,1600,180,140
1764698707.5231,4.7007,1600,180,141
1764698707.5574,4.7351,1600,180,142
1764698707.5902,4.7678,1600,180,143
1764698707.6233,4.8010,1600,180,144
1764698707.6573,4.8349,1600,180,145
1764698707.6892,4.8669,1600,180,146
1764698707.7213,4.8990,1600,180,147
1764698707.7573,4.9349,1600,180,148
1764698707.7897,4.9673,1600,180,149
1764698707.8222,4.9998,1600,180,150
1764698707.8577,5.0353,1600,180,151
1764698707.8895,5.0672,1600,180,152
1764698707.9241,5.1017,1600,180,153
1764698707.9575,5.1351,1600,180,154
1764698707.9895,5.1671,1600,180,155
1764698708.0221,5.1998,1600,180,156
1764698708.0570,5.2346,1600,180,157
1764698708.0908,5.2684,1600,180,158
1764698708.1219,5.2996,1600,180,159
1764698708.1579,5.3355,1600,180,160
1764698708.1897,5.3673,1600,180,161
1764698708.2213,5.3990,1600,180,162
1764698708.2572,5.4349,1600,180,163
1764698708.2906,5.4683,1600,180,164
1764698708.3213,5.4989,1600,180,165
1764698708.3562,5.5339,1600,180,166
1764698708.3893,5.5670,1600,180,167
1764698708.4219,5.5995,1600,180,168
1764698708.4583,5.6360,1600,180,169
1764698708.4898,5.6675,1600,180,170
1764698708.5216,5.6993,1600,180,171
1764698708.5581,5.7357,1600,180,172
1764698708.5903,5.7680,1600,180,173
1764698708.6217,5.7993,1600,180,174
1764698708.6572,5.8349,1600,180,175
1764698708.6901,5.8678,1600,180,176
1764698708.7241,5.9017,1600,180,177
1764698708.7581,5.9357,1600,180,178
1764698708.7896,5.9673,1600,180,179
1764698708.8242,6.0019,320,540,180
1764698708.8583,6.0359,320,540,181
1764698708.8897,6.0674,320,540,182
1764698708.9217,6.0993,320,540,183
1764698708.9572,6.1348,320,540,184
1764698708.9893,6.1670,320,540,185
1764698709.0237,6.2013,320,540,186
1764698709.0577,6.2354,320,540,187
1764698709.0903,6.2680,320,540,188
1764698709.1234,6.3010,320,540,189
1764698709.1575,6.3352,320,540,190
1764698709.1903,6.3679,320,540,191
1764698709.2214,6.3990,320,540,192
1764698709.2579,6.4355,320,540,193
1764698709.2895,6.4671,320,540,194
1764698709.3232,6.5009,320,540,195
1764698709.3582,6.5359,320,540,196
1764698709.3895,6.5672,320,540,197
1764698709.4221,6.5997,320,540,198
1764698709.4572,6.6348,320,540,199
1764698709.4896,6.6672,320,540,200
1764698709.5223,6.6999,320,540,201
1764698709.5577,6.7353,320,540,202
1764698709.5895,6.7671,320,540,203
1764698709.6236,6.8012,320,540,204
1764698709.6584,6.8360,320,540,205
1764698709.6897,6.8674,320,540,206
1764698709.7217,6.8993,320,540,207
1764698709.7562,6.9339,320,540,208
1764698709.7892,6.9669,320,540,209
1764698709.8217,6.9993,320,540,210
1764698709.8583,7.0360,320,540,211
1764698709.8893,7.0670,320,540,212
1764698709.9235,7.1011,320,540,213
1764698709.9579,7.1355,320,540,214
1764698709.9898,7.1674,320,540,215
1764698710.0239,7.2015,320,540,216
1764698710.0572,7.2349,320,540,217
1764698710.0899,7.2675,320,540,218
1764698710.1217,7.2993,320,540,219
1764698710.1583,7.3359,320,540,220
1764698710.1893,7.3670,320,540,221
1764698710.2223,7.3999,320,540,222
1764698710.2580,7.4356,320,540,223
1764698710.2902,7.4678,320,540,224
1764698710.3215,7.4991,320,540,225
1764698710.3577,7.5353,320,540,226
1764698710.3896,7.5673,320,540,227
1764698710.4242,7.6018,320,540,228
1764698710.4579,7.6355,320,540,229
1764698710.4895,7.6671,320,540,230
1764698710.5242,7.7019,320,540,231
1764698710.5580,7.7357,320,540,232
1764698710.5903,7.7680,320,540,233
1764698710.6214,7.7990,320,540,234
1764698710.6580,7.8357,320,540,235
1764698710.6893,7.8669,320,540,236
1764698710.7213,7.8990,320,540,237
1764698710.7577,7.9353,320,540,238
1764698710.7894,7.9670,320,540,239
1764698710.8214,7.9990,960,540,240
1764698710.8574,8.0351,960,540,241
1764698710.8903,8.0680,960,540,242
1764698710.9234,8.1010,960,540,243
1764698710.9580,8.1356,960,540,244
1764698710.9897,8.1673,960,540,245
1764698711.0222,8.1999,960,540,246
1764698711.0577,8.2354,960,540,247
1764698711.0895,8.2672,960,540,248
1764698711.1215,8.2992,960,540,249
1764698711.1572,8.3349,960,540,250
1764698711.1900,8.3676,960,540,251
1764698711.2214,8.3990,960,540,252
1764698711.2574,8.4351,960,540,253
1764698711.2893,8.4669,960,540,254
1764698711.3233,8.5009,960,540,255
1764698711.3578,8.5355,960,540,256
1764698711.3902,8.5679,960,540,257
1764698711.4213,8.5990,960,540,258
1764698711.4577,8.6354,960,540,259
1764698711.4904,8.6680,960,540,260
1764698711.5243,8.7020,960,540,261
1764698711.5576,8.7353,960,540,262
1764698711.5903,8.7679,960,540,263
1764698711.6217,8.7993,960,540,264
1764698711.6582,8.8359,960,540,265
1764698711.6901,8.8677,960,540,266
1764698711.7243,8.9019,960,540,267
1764698711.7573,8.9349,960,540,268
1764698711.7901,8.9677,960,540,269
1764698711.8214,8.9991,960,540,270
1764698711.8564,9.0340,960,540,271
1764698711.8902,9.0679,960,540,272
1764698711.9234,9.1010,960,540,273
1764698711.9578,9.1355,960,540,274
1764698711.9899,9.1675,960,540,275
1764698712.0219,9.1995,960,540,276
1764698712.0578,9.2355,960,540,277
1764698712.0893,9.2669,960,540,278
1764698712.1220,9.2996,960,540,279
1764698712.1573,9.3349,960,540,280
1764698712.1898,9.3675,960,540,281
1764698712.2241,9.4017,960,540,282
1764698712.2577,9.4354,960,540,283
1764698712.2893,9.4669,960,540,284
1764698712.3215,9.4991,960,540,285
1764698712.3583,9.5359,960,540,286
1764698712.3899,9.5675,960,540,287
1764698712.4222,9.5999,960,540,288
1764698712.4572,9.6348,960,540,289
1764698712.4893,9.6669,960,540,290
1764698712.5235,9.7012,960,540,291
1764698712.5579,9.7356,960,540,292
1764698712.5896,9.7672,960,540,293
1764698712.6213,9.7990,960,540,294
1764698712.6574,9.8350,960,540,295
1764698712.6894,9.8671,960,540,296
1764698712.7212,9.8988,960,540,297
1764698712.7584,9.9360,960,540,298
1764698712.7906,9.9682,960,540,299
1764698712.8213,9.9989,1600,540,300
1764698712.8581,10.0357,1600,540,301
1764698712.8893,10.0669,1600,540,302
1764698712.9233,10.1010,1600,540,303
1764698712.9578,10.1354,1600,540,304
1764698712.9899,10.1675,1600,540,305
1764698713.0217,10.1993,1600,540,306
1764698713.0572,10.2348,1600,540,307
1764698713.0893,10.2670,1600,540,308
1764698713.1218,10.2994,1600,540,309
1764698713.1574,10.3350,1600,540,310
1764698713.1894,10.3670,1600,540,311
1764698713.2214,10.3990,1600,540,312
1764698713.2578,10.4354,1600,540,313
1764698713.2900,10.4676,1600,540,314
1764698713.3234,10.5010,1600,540,315
1764698713.3581,10.5357,1600,540,316
1764698713.3899,10.5675,1600,540,317
1764698713.4214,10.5991,1600,540,318
1764698713.4583,10.6359,1600,540,319
1764698713.4902,10.6678,1600,540,320
1764698713.5241,10.7018,1600,540,321
1764698713.5576,10.7353,1600,540,322
1764698713.5894,10.7670,1600,540,323
1764698713.6217,10.7993,1600,540,324
1764698713.6576,10.8352,1600,540,325
1764698713.6902,10.8678,1600,540,326
1764698713.7215,10.8991,1600,540,327
1764698713.7574,10.9350,1600,540,328
1764698713.7895,10.9671,1600,540,329
1764698713.8221,10.9998,1600,540,330
1764698713.8582,11.0358,1600,540,331
1764698713.8896,11.0672,1600,540,332
1764698713.9236,11.1013,1600,540,333
1764698713.9566,11.1343,1600,540,334
1764698713.9897,11.1673,1600,540,335
1764698714.0216,11.1993,1600,540,336
1764698714.0573,11.2349,1600,540,337
1764698714.0902,11.2678,1600,540,338
1764698714.1220,11.2997,1600,540,339
1764698714.1575,11.3351,1600,540,340
1764698714.1898,11.3675,1600,540,341
1764698714.2240,11.4016,1600,540,342
1764698714.2579,11.4356,1600,540,343
1764698714.2899,11.4675,1600,540,344
1764698714.3244,11.5021,1600,540,345
1764698714.3573,11.5350,1600,540,346
1764698714.3903,11.5679,1600,540,347
1764698714.4223,11.5999,1600,540,348
1764698714.4573,11.6349,1600,540,349
1764698714.4903,11.6679,1600,540,350
1764698714.5223,11.6999,1600,540,351
1764698714.5574,11.7350,1600,540,352
1764698714.5902,11.7679,1600,540,353
1764698714.6216,11.7992,1600,540,354
1764698714.6574,11.8350,1600,540,355
1764698714.6902,11.8678,1600,540,356
1764698714.7226,11.9002,1600,540,357
1764698714.7573,11.9349,1600,540,358
1764698714.7893,11.9670,1600,540,359
1764698714.8235,12.0011,320,900,360
1764698714.8573,12.0350,320,900,361
1764698714.8893,12.0669,320,900,362
1764698714.9215,12.0992,320,900,363
1764698714.9575,12.1351,320,900,364
1764698714.9892,12.1669,320,900,365
1764698715.0220,12.1997,320,900,366
1764698715.0575,12.2351,320,900,367
1764698715.0893,12.2669,320,900,368
1764698715.1236,12.3013,320,900,369
1764698715.1582,12.3359,320,900,370
1764698715.1894,12.3670,320,900,371
1764698715.2213,12.3990,320,900,372
1764698715.2580,12.4356,320,900,373
1764698715.2893,12.4670,320,900,374
1764698715.3222,12.4998,320,900,375
1764698715.3584,12.5360,320,900,376
1764698715.3901,12.5678,320,900,377
1764698715.4233,12.6009,320,900,378
1764698715.4572,12.6349,320,900,379
1764698715.4896,12.6672,320,900,380
1764698715.5213,12.6989,320,900,381
1764698715.5583,12.7359,320,900,382
1764698715.5903,12.7679,320,900,383
1764698715.6241,12.8018,320,900,384
1764698715.6582,12.8358,320,900,385
1764698715.6893,12.8670,320,900,386
1764698715.7233,12.9010,320,900,387
1764698715.7576,12.9352,320,900,388
1764698715.7893,12.9669,320,900,389
1764698715.8219,12.9996,320,900,390
1764698715.8576,13.0353,320,900,391
1764698715.8899,13.0675,320,900,392
1764698715.9214,13.0991,320,900,393
1764698715.9577,13.1353,320,900,394
1764698715.9901,13.1677,320,900,395
1764698716.0216,13.1993,320,900,396
1764698716.0576,13.2353,320,900,397
1764698716.0895,13.2671,320,900,398
1764698716.1218,13.2995,320,900,399
1764698716.1574,13.3350,320,900,400
1764698716.1897,13.3673,320,900,401
1764698716.2222,13.3999,320,900,402
1764698716.2583,13.4360,320,900,403
1764698716.2904,13.4681,320,900,404
1764698716.3214,13.4991,320,900,405
1764698716.3582,13.5358,320,900,406
1764698716.3894,13.5671,320,900,407
1764698716.4214,13.5990,320,900,408
1764698716.4579,13.6356,320,900,409
1764698716.4906,13.6682,320,900,410
1764698716.5221,13.6998,320,900,411
1764698716.5572,13.7349,320,900,412
1764698716.5896,13.7672,320,900,413
1764698716.6233,13.8009,320,900,414
1764698716.6576,13.8352,320,900,415
1764698716.6893,13.8670,320,900,416
1764698716.7235,13.9012,320,900,417
1764698716.7582,13.9359,320,900,418
1764698716.7902,13.9679,320,900,419
1764698716.8224,14.0000,960,900,420
1764698716.8579,14.0355,960,900,421
1764698716.8894,14.0671,960,900,422
1764698716.9224,14.1000,960,900,423
1764698716.9582,14.1359,960,900,424
1764698716.9899,14.1675,960,900,425
1764698717.0240,14.2016,960,900,426
1764698717.0568,14.2345,960,900,427
1764698717.0901,14.2678,960,900,428
1764698717.1216,14.2993,960,900,429
1764698717.1573,14.3350,960,900,430
1764698717.1909,14.3685,960,900,431
1764698717.2222,14.3998,960,900,432
1764698717.2574,14.4350,960,900,433
1764698717.2896,14.4672,960,900,434
1764698717.3235,14.5012,960,900,435
