timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765202444.2476,0.0000,320,180,0
1765202444.2828,0.0352,320,180,1
1765202444.3151,0.0675,320,180,2
1765202444.3470,0.0994,320,180,3
1765202444.3831,0.1355,320,180,4
1765202444.4149,0.1673,320,180,5
1765202444.4469,0.1993,320,180,6
1765202444.4826,0.2350,320,180,7
1765202444.5145,0.2669,320,180,8
1765202444.5496,0.3021,320,180,9
1765202444.5832,0.3356,320,180,10
1765202444.6145,0.3669,320,180,11
1765202444.6467,0.3991,320,180,12
1765202444.6833,0.4358,320,180,13
1765202444.7155,0.4679,320,180,14
1765202444.7489,0.5013,320,180,15
1765202444.7825,0.5350,320,180,16
1765202444.8148,0.5672,320,180,17
1765202444.8482,0.6006,320,180,18
1765202444.8830,0.6354,320,180,19
1765202444.9147,0.6671,320,180,20
1765202444.9467,0.6991,320,180,21
1765202444.9826,0.7350,320,180,22
1765202445.0145,0.7669,320,180,23
1765202445.0487,0.8011,320,180,24
1765202445.0828,0.8352,320,180,25
1765202445.1146,0.8670,320,180,26
1765202445.1469,0.8993,320,180,27
1765202445.1821,0.9345,320,180,28
1765202445.2155,0.9679,320,180,29
1765202445.2468,0.9992,320,180,30
1765202445.2826,1.0350,320,180,31
1765202445.3155,1.0679,320,180,32
1765202445.3491,1.1015,320,180,33
1765202445.3826,1.1350,320,180,34
1765202445.4155,1.1679,320,180,35
1765202445.4472,1.1996,320,180,36
1765202445.4828,1.2352,320,180,37
1765202445.5146,1.2670,320,180,38
1765202445.5477,1.3001,320,180,39
1765202445.5832,1.3356,320,180,40
1765202445.6149,1.3673,320,180,41
1765202445.6469,1.3993,320,180,42
1765202445.6826,1.4350,320,180,43
1765202445.7155,1.4680,320,180,44
1765202445.7468,1.4992,320,180,45
1765202445.7828,1.5352,320,180,46
1765202445.8154,1.5678,320,180,47
1765202445.8493,1.6017,320,180,48
1765202445.8825,1.6349,320,180,49
1765202445.9147,1.6671,320,180,50
1765202445.9468,1.6992,320,180,51
1765202445.9826,1.7350,320,180,52
1765202446.0156,1.7680,320,180,53
1765202446.0464,1.7989,320,180,54
1765202446.0822,1.8346,320,180,55
1765202446.1150,1.8674,320,180,56
1765202446.1488,1.9012,320,180,57
1765202446.1829,1.9353,320,180,58
1765202446.2157,1.9681,320,180,59
1765202446.2473,1.9997,960,180,60
1765202446.2827,2.0351,960,180,61
1765202446.3147,2.0671,960,180,62
1765202446.3469,2.0993,960,180,63
1765202446.3829,2.1353,960,180,64
1765202446.4146,2.1670,960,180,65
1765202446.4485,2.2009,960,180,66
1765202446.4830,2.2354,960,180,67
1765202446.5147,2.2671,960,180,68
1765202446.5481,2.3005,960,180,69
1765202446.5835,2.3359,960,180,70
1765202446.6155,2.3679,960,180,71
1765202446.6466,2.3990,960,180,72
1765202446.6819,2.4343,960,180,73
1765202446.7153,2.4677,960,180,74
1765202446.7467,2.4991,960,180,75
1765202446.7827,2.5351,960,180,76
