timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765210608.7459,0.0000,320,180,0
1765210608.7798,0.0339,320,180,1
1765210608.8125,0.0666,320,180,2
1765210608.8469,0.1010,320,180,3
1765210608.8807,0.1348,320,180,4
1765210608.9133,0.1675,320,180,5
1765210608.9466,0.2007,320,180,6
1765210608.9788,0.2330,320,180,7
1765210609.0125,0.2666,320,180,8
1765210609.0465,0.3006,320,180,9
1765210609.0790,0.3331,320,180,10
1765210609.1134,0.3676,320,180,11
1765210609.1466,0.4007,320,180,12
1765210609.1788,0.4329,320,180,13
1765210609.2142,0.4683,320,180,14
1765210609.2470,0.5011,320,180,15
1765210609.2788,0.5330,320,180,16
1765210609.3131,0.5672,320,180,17
1765210609.3469,0.6010,320,180,18
1765210609.3787,0.6329,320,180,19
1765210609.4134,0.6675,320,180,20
1765210609.4472,0.7013,320,180,21
1765210609.4795,0.7336,320,180,22
1765210609.5128,0.7669,320,180,23
1765210609.5470,0.8011,320,180,24
1765210609.5785,0.8326,320,180,25
1765210609.6142,0.8683,320,180,26
1765210609.6476,0.9017,320,180,27
1765210609.6788,0.9329,320,180,28
1765210609.7146,0.9687,320,180,29
1765210609.7475,1.0016,320,180,30
1765210609.7806,1.0347,320,180,31
1765210609.8132,1.0673,320,180,32
1765210609.8474,1.1015,320,180,33
1765210609.8789,1.1330,320,180,34
1765210609.9138,1.1679,320,180,35
1765210609.9447,1.1988,320,180,36
1765210609.9808,1.2349,320,180,37
1765210610.0132,1.2673,320,180,38
1765210610.0460,1.3001,320,180,39
1765210610.0815,1.3356,320,180,40
1765210610.1128,1.3670,320,180,41
1765210610.1465,1.4007,320,180,42
1765210610.1795,1.4336,320,180,43
1765210610.2129,1.4670,320,180,44
1765210610.2470,1.5011,320,180,45
1765210610.2787,1.5328,320,180,46
1765210610.3131,1.5672,320,180,47
1765210610.3465,1.6006,320,180,48
1765210610.3793,1.6334,320,180,49
1765210610.4133,1.6675,320,180,50
1765210610.4466,1.7007,320,180,51
1765210610.4794,1.7336,320,180,52
1765210610.5127,1.7668,320,180,53
1765210610.5445,1.7986,320,180,54
1765210610.5785,1.8326,320,180,55
1765210610.6131,1.8672,320,180,56
1765210610.6469,1.9010,320,180,57
1765210610.6794,1.9335,320,180,58
1765210610.7126,1.9667,320,180,59
1765210610.7465,2.0006,960,180,60
1765210610.7795,2.0337,960,180,61
1765210610.8129,2.0670,960,180,62
1765210610.8448,2.0989,960,180,63
1765210610.8811,2.1352,960,180,64
1765210610.9125,2.1666,960,180,65
1765210610.9467,2.2008,960,180,66
1765210610.9790,2.2332,960,180,67
1765210611.0135,2.2676,960,180,68
1765210611.0475,2.3016,960,180,69
1765210611.0787,2.3328,960,180,70
1765210611.1136,2.3677,960,180,71
1765210611.1455,2.3996,960,180,72
1765210611.1807,2.4348,960,180,73
1765210611.2137,2.4679,960,180,74
1765210611.2468,2.5009,960,180,75
1765210611.2791,2.5332,960,180,76
1765210611.3125,2.5666,960,180,77
1765210611.3453,2.5994,960,180,78
1765210611.3813,2.6354,960,180,79
1765210611.4131,2.6672,960,180,80
1765210611.4451,2.6992,960,180,81
1765210611.4817,2.7358,960,180,82
1765210611.5130,2.7671,960,180,83
1765210611.5466,2.8007,960,180,84
1765210611.5816,2.8358,960,180,85
1765210611.6134,2.8676,960,180,86
1765210611.6474,2.9015,960,180,87
1765210611.6790,2.9331,960,180,88
1765210611.7125,2.9666,960,180,89
1765210611.7455,2.9996,960,180,90
1765210611.7814,3.0356,960,180,91
1765210611.8135,3.0676,960,180,92
1765210611.8473,3.1014,960,180,93
1765210611.8787,3.1329,960,180,94
1765210611.9135,3.1676,960,180,95
1765210611.9448,3.1989,960,180,96
1765210611.9805,3.2346,960,180,97
1765210612.0132,3.2673,960,180,98
1765210612.0451,3.2992,960,180,99
1765210612.0809,3.3350,960,180,100
1765210612.1129,3.3670,960,180,101
1765210612.1445,3.3986,960,180,102
1765210612.1792,3.4334,960,180,103
1765210612.2148,3.4689,960,180,104
1765210612.2465,3.5006,960,180,105
1765210612.2789,3.5330,960,180,106
1765210612.3125,3.5666,960,180,107
1765210612.3467,3.6008,960,180,108
1765210612.3787,3.6329,960,180,109
1765210612.4138,3.6679,960,180,110
1765210612.4467,3.7008,960,180,111
1765210612.4795,3.7336,960,180,112
1765210612.5147,3.7688,960,180,113
1765210612.5474,3.8015,960,180,114
1765210612.5796,3.8337,960,180,115
1765210612.6134,3.8675,960,180,116
1765210612.6467,3.9008,960,180,117
1765210612.6792,3.9333,960,180,118
1765210612.7137,3.9678,960,180,119
1765210612.7467,4.0008,1600,180,120
1765210612.7787,4.0328,1600,180,121
1765210612.8154,4.0695,1600,180,122
1765210612.8468,4.1010,1600,180,123
1765210612.8795,4.1336,1600,180,124
1765210612.9139,4.1680,1600,180,125
1765210612.9450,4.1991,1600,180,126
1765210612.9795,4.2337,1600,180,127
1765210613.0127,4.2668,1600,180,128
1765210613.0464,4.3006,1600,180,129
1765210613.0788,4.3330,1600,180,130
1765210613.1140,4.3682,1600,180,131
1765210613.1467,4.4008,1600,180,132
1765210613.1793,4.4334,1600,180,133
1765210613.2134,4.4675,1600,180,134
1765210613.2473,4.5014,1600,180,135
1765210613.2785,4.5326,1600,180,136
1765210613.3131,4.5672,1600,180,137
1765210613.3467,4.6008,1600,180,138
1765210613.3789,4.6330,1600,180,139
1765210613.4141,4.6682,1600,180,140
1765210613.4467,4.7009,1600,180,141
1765210613.4794,4.7336,1600,180,142
1765210613.5127,4.7668,1600,180,143
1765210613.5467,4.8009,1600,180,144
1765210613.5790,4.8331,1600,180,145
1765210613.6135,4.8676,1600,180,146
1765210613.6476,4.9017,1600,180,147
1765210613.6787,4.9328,1600,180,148
1765210613.7126,4.9667,1600,180,149
1765210613.7448,4.9989,1600,180,150
1765210613.7792,5.0333,1600,180,151
1765210613.8128,5.0669,1600,180,152
1765210613.8469,5.1010,1600,180,153
1765210613.8784,5.1326,1600,180,154
1765210613.9144,5.1685,1600,180,155
1765210613.9473,5.2015,1600,180,156
1765210613.9788,5.2329,1600,180,157
1765210614.0130,5.2672,1600,180,158
1765210614.0448,5.2989,1600,180,159
1765210614.0805,5.3346,1600,180,160
1765210614.1135,5.3676,1600,180,161
1765210614.1471,5.4012,1600,180,162
1765210614.1794,5.4336,1600,180,163
1765210614.2132,5.4674,1600,180,164
1765210614.2473,5.5015,1600,180,165
1765210614.2791,5.5332,1600,180,166
1765210614.3155,5.5696,1600,180,167
1765210614.3466,5.6007,1600,180,168
1765210614.3785,5.6326,1600,180,169
1765210614.4134,5.6675,1600,180,170
1765210614.4475,5.7016,1600,180,171
1765210614.4791,5.7332,1600,180,172
1765210614.5127,5.7668,1600,180,173
1765210614.5447,5.7988,1600,180,174
1765210614.5792,5.8334,1600,180,175
1765210614.6136,5.8678,1600,180,176
1765210614.6473,5.9014,1600,180,177
1765210614.6787,5.9328,1600,180,178
1765210614.7138,5.9679,1600,180,179
1765210614.7455,5.9996,320,540,180
1765210614.7796,6.0337,320,540,181
1765210614.8127,6.0669,320,540,182
1765210614.8470,6.1012,320,540,183
1765210614.8793,6.1334,320,540,184
1765210614.9136,6.1678,320,540,185
1765210614.9454,6.1996,320,540,186
1765210614.9808,6.2349,320,540,187
1765210615.0128,6.2670,320,540,188
1765210615.0449,6.2990,320,540,189
1765210615.0785,6.3326,320,540,190
1765210615.1145,6.3687,320,540,191
1765210615.1476,6.4017,320,540,192
1765210615.1787,6.4328,320,540,193
1765210615.2148,6.4689,320,540,194
1765210615.2449,6.4990,320,540,195
1765210615.2806,6.5347,320,540,196
1765210615.3126,6.5667,320,540,197
1765210615.3467,6.6008,320,540,198
1765210615.3786,6.6327,320,540,199
1765210615.4125,6.6667,320,540,200
1765210615.4456,6.6998,320,540,201
1765210615.4790,6.7331,320,540,202
1765210615.5135,6.7676,320,540,203
1765210615.5469,6.8010,320,540,204
1765210615.5788,6.8329,320,540,205
1765210615.6154,6.8695,320,540,206
1765210615.6466,6.9007,320,540,207
1765210615.6795,6.9336,320,540,208
1765210615.7132,6.9673,320,540,209
1765210615.7447,6.9988,320,540,210
1765210615.7815,7.0356,320,540,211
1765210615.8136,7.0677,320,540,212
1765210615.8467,7.1008,320,540,213
1765210615.8791,7.1333,320,540,214
1765210615.9128,7.1669,320,540,215
1765210615.9465,7.2006,320,540,216
1765210615.9796,7.2337,320,540,217
1765210616.0127,7.2668,320,540,218
1765210616.0452,7.2993,320,540,219
1765210616.0787,7.3329,320,540,220
1765210616.1125,7.3667,320,540,221
1765210616.1461,7.4003,320,540,222
1765210616.1786,7.4328,320,540,223
1765210616.2130,7.4671,320,540,224
1765210616.2457,7.4998,320,540,225
1765210616.2809,7.5350,320,540,226
1765210616.3128,7.5670,320,540,227
1765210616.3475,7.6016,320,540,228
1765210616.3786,7.6327,320,540,229
1765210616.4127,7.6668,320,540,230
1765210616.4465,7.7006,320,540,231
1765210616.4789,7.7330,320,540,232
1765210616.5130,7.7671,320,540,233
1765210616.5474,7.8015,320,540,234
1765210616.5791,7.8332,320,540,235
1765210616.6132,7.8674,320,540,236
1765210616.6467,7.9009,320,540,237
1765210616.6794,7.9335,320,540,238
1765210616.7129,7.9670,320,540,239
1765210616.7470,8.0011,960,540,240
1765210616.7791,8.0332,960,540,241
1765210616.8135,8.0677,960,540,242
1765210616.8471,8.1012,960,540,243
1765210616.8789,8.1331,960,540,244
1765210616.9127,8.1669,960,540,245
1765210616.9458,8.2000,960,540,246
1765210616.9806,8.2347,960,540,247
1765210617.0128,8.2669,960,540,248
1765210617.0466,8.3007,960,540,249
1765210617.0795,8.3336,960,540,250
