timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765200795.7504,0.0000,320,180,0
1765200795.7864,0.0360,320,180,1
1765200795.8184,0.0680,320,180,2
1765200795.8511,0.1007,320,180,3
1765200795.8845,0.1341,320,180,4
1765200795.9195,0.1691,320,180,5
1765200795.9507,0.2002,320,180,6
1765200795.9873,0.2369,320,180,7
1765200796.0184,0.2680,320,180,8
1765200796.0507,0.3003,320,180,9
1765200796.0828,0.3324,320,180,10
1765200796.1177,0.3673,320,180,11
1765200796.1513,0.4008,320,180,12
1765200796.1827,0.4323,320,180,13
1765200796.2194,0.4690,320,180,14
1765200796.2516,0.5012,320,180,15
1765200796.2869,0.5365,320,180,16
1765200796.3187,0.5683,320,180,17
1765200796.3512,0.6008,320,180,18
1765200796.3869,0.6365,320,180,19
1765200796.4195,0.6691,320,180,20
1765200796.4512,0.7007,320,180,21
1765200796.4869,0.7365,320,180,22
1765200796.5188,0.7684,320,180,23
1765200796.5505,0.8001,320,180,24
1765200796.5856,0.8352,320,180,25
1765200796.6194,0.8690,320,180,26
1765200796.6511,0.9007,320,180,27
1765200796.6830,0.9325,320,180,28
1765200796.7169,0.9665,320,180,29
1765200796.7505,1.0001,320,180,30
1765200796.7835,1.0331,320,180,31
1765200796.8188,1.0684,320,180,32
1765200796.8513,1.1009,320,180,33
1765200796.8874,1.1370,320,180,34
1765200796.9190,1.1686,320,180,35
1765200796.9511,1.2007,320,180,36
1765200796.9869,1.2365,320,180,37
1765200797.0195,1.2691,320,180,38
1765200797.0515,1.3011,320,180,39
1765200797.0875,1.3371,320,180,40
1765200797.1185,1.3681,320,180,41
1765200797.1510,1.4006,320,180,42
1765200797.1833,1.4329,320,180,43
1765200797.2192,1.4688,320,180,44
1765200797.2514,1.5010,320,180,45
1765200797.2866,1.5362,320,180,46
1765200797.3186,1.5682,320,180,47
1765200797.3511,1.6007,320,180,48
1765200797.3872,1.6368,320,180,49
1765200797.4186,1.6682,320,180,50
1765200797.4508,1.7004,320,180,51
1765200797.4868,1.7364,320,180,52
1765200797.5189,1.7685,320,180,53
1765200797.5505,1.8001,320,180,54
1765200797.5833,1.8329,320,180,55
1765200797.6169,1.8665,320,180,56
1765200797.6511,1.9007,320,180,57
1765200797.6874,1.9370,320,180,58
1765200797.7193,1.9689,320,180,59
1765200797.7507,2.0003,960,180,60
1765200797.7865,2.0360,960,180,61
1765200797.8189,2.0685,960,180,62
1765200797.8506,2.1002,960,180,63
1765200797.8863,2.1359,960,180,64
1765200797.9188,2.1684,960,180,65
1765200797.9509,2.2005,960,180,66
1765200797.9865,2.2361,960,180,67
1765200798.0194,2.2690,960,180,68
1765200798.0514,2.3010,960,180,69
1765200798.0869,2.3365,960,180,70
1765200798.1195,2.3691,960,180,71
1765200798.1516,2.4012,960,180,72
1765200798.1834,2.4330,960,180,73
1765200798.2174,2.4670,960,180,74
1765200798.2507,2.5003,960,180,75
1765200798.2876,2.5372,960,180,76
1765200798.3183,2.5679,960,180,77
1765200798.3508,2.6004,960,180,78
1765200798.3875,2.6371,960,180,79
1765200798.4183,2.6679,960,180,80
1765200798.4510,2.7006,960,180,81
1765200798.4874,2.7369,960,180,82
1765200798.5187,2.7683,960,180,83
1765200798.5510,2.8006,960,180,84
1765200798.5871,2.8366,960,180,85
1765200798.6195,2.8691,960,180,86
1765200798.6513,2.9009,960,180,87
1765200798.6837,2.9333,960,180,88
1765200798.7193,2.9689,960,180,89
1765200798.7508,3.0004,960,180,90
1765200798.7835,3.0331,960,180,91
1765200798.8166,3.0662,960,180,92
1765200798.8509,3.1005,960,180,93
1765200798.8866,3.1362,960,180,94
1765200798.9190,3.1686,960,180,95
1765200798.9513,3.2008,960,180,96
1765200798.9871,3.2367,960,180,97
1765200799.0194,3.2690,960,180,98
1765200799.0515,3.3011,960,180,99
1765200799.0874,3.3370,960,180,100
1765200799.1185,3.3681,960,180,101
1765200799.1508,3.4004,960,180,102
1765200799.1861,3.4357,960,180,103
1765200799.2191,3.4687,960,180,104
1765200799.2511,3.5007,960,180,105
1765200799.2870,3.5366,960,180,106
1765200799.3195,3.5691,960,180,107
1765200799.3511,3.6007,960,180,108
1765200799.3827,3.6323,960,180,109
1765200799.4165,3.6661,960,180,110
1765200799.4504,3.6999,960,180,111
1765200799.4863,3.7359,960,180,112
1765200799.5187,3.7683,960,180,113
1765200799.5511,3.8007,960,180,114
1765200799.5829,3.8325,960,180,115
1765200799.6191,3.8686,960,180,116
1765200799.6515,3.9011,960,180,117
1765200799.6872,3.9368,960,180,118
1765200799.7188,3.9684,960,180,119
1765200799.7515,4.0011,1600,180,120
1765200799.7875,4.0370,1600,180,121
1765200799.8190,4.0686,1600,180,122
1765200799.8508,4.1004,1600,180,123
1765200799.8876,4.1372,1600,180,124
1765200799.9188,4.1684,1600,180,125
1765200799.9510,4.2006,1600,180,126
1765200799.9827,4.2323,1600,180,127
1765200800.0165,4.2661,1600,180,128
1765200800.0501,4.2997,1600,180,129
1765200800.0846,4.3342,1600,180,130
1765200800.1193,4.3689,1600,180,131
1765200800.1511,4.4007,1600,180,132
1765200800.1831,4.4327,1600,180,133
1765200800.2172,4.4668,1600,180,134
1765200800.2514,4.5010,1600,180,135
1765200800.2827,4.5323,1600,180,136
1765200800.3187,4.5683,1600,180,137
1765200800.3513,4.6009,1600,180,138
1765200800.3868,4.6364,1600,180,139
1765200800.4186,4.6681,1600,180,140
1765200800.4508,4.7004,1600,180,141
1765200800.4831,4.7327,1600,180,142
1765200800.5168,4.7664,1600,180,143
1765200800.5510,4.8006,1600,180,144
1765200800.5831,4.8327,1600,180,145
1765200800.6191,4.8687,1600,180,146
1765200800.6505,4.9001,1600,180,147
1765200800.6832,4.9328,1600,180,148
1765200800.7175,4.9670,1600,180,149
1765200800.7498,4.9994,1600,180,150
1765200800.7869,5.0365,1600,180,151
1765200800.8182,5.0678,1600,180,152
1765200800.8517,5.1013,1600,180,153
1765200800.8840,5.1336,1600,180,154
1765200800.9196,5.1692,1600,180,155
1765200800.9506,5.2002,1600,180,156
1765200800.9829,5.2325,1600,180,157
1765200801.0188,5.2684,1600,180,158
1765200801.0509,5.3005,1600,180,159
1765200801.0833,5.3329,1600,180,160
1765200801.1172,5.3667,1600,180,161
1765200801.1516,5.4012,1600,180,162
1765200801.1867,5.4363,1600,180,163
1765200801.2185,5.4681,1600,180,164
1765200801.2515,5.5011,1600,180,165
1765200801.2868,5.5364,1600,180,166
1765200801.3198,5.5693,1600,180,167
1765200801.3506,5.6002,1600,180,168
1765200801.3835,5.6331,1600,180,169
1765200801.4173,5.6669,1600,180,170
1765200801.4510,5.7006,1600,180,171
1765200801.4829,5.7325,1600,180,172
1765200801.5186,5.7682,1600,180,173
1765200801.5514,5.8010,1600,180,174
1765200801.5861,5.8356,1600,180,175
1765200801.6195,5.8691,1600,180,176
1765200801.6506,5.9002,1600,180,177
1765200801.6860,5.9356,1600,180,178
1765200801.7195,5.9691,1600,180,179
1765200801.7517,6.0013,320,540,180
1765200801.7832,6.0328,320,540,181
1765200801.8168,6.0664,320,540,182
1765200801.8512,6.1008,320,540,183
1765200801.8830,6.1326,320,540,184
1765200801.9173,6.1669,320,540,185
1765200801.9505,6.2001,320,540,186
1765200801.9865,6.2361,320,540,187
1765200802.0185,6.2681,320,540,188
1765200802.0515,6.3011,320,540,189
1765200802.0827,6.3323,320,540,190
1765200802.1187,6.3683,320,540,191
1765200802.1509,6.4004,320,540,192
1765200802.1853,6.4349,320,540,193
1765200802.2187,6.4683,320,540,194
1765200802.2507,6.5003,320,540,195
1765200802.2867,6.5363,320,540,196
1765200802.3195,6.5691,320,540,197
1765200802.3507,6.6003,320,540,198
1765200802.3871,6.6367,320,540,199
1765200802.4188,6.6684,320,540,200
1765200802.4511,6.7007,320,540,201
1765200802.4858,6.7354,320,540,202
1765200802.5191,6.7687,320,540,203
1765200802.5507,6.8003,320,540,204
1765200802.5864,6.8360,320,540,205
1765200802.6188,6.8684,320,540,206
1765200802.6508,6.9003,320,540,207
1765200802.6860,6.9356,320,540,208
1765200802.7194,6.9690,320,540,209
1765200802.7513,7.0009,320,540,210
1765200802.7876,7.0372,320,540,211
1765200802.8185,7.0681,320,540,212
1765200802.8514,7.1010,320,540,213
1765200802.8834,7.1330,320,540,214
1765200802.9186,7.1682,320,540,215
1765200802.9515,7.2011,320,540,216
1765200802.9865,7.2361,320,540,217
1765200803.0187,7.2683,320,540,218
1765200803.0511,7.3007,320,540,219
1765200803.0833,7.3329,320,540,220
1765200803.1169,7.3665,320,540,221
1765200803.1518,7.4014,320,540,222
1765200803.1868,7.4364,320,540,223
1765200803.2191,7.4687,320,540,224
1765200803.2508,7.5004,320,540,225
1765200803.2871,7.5367,320,540,226
1765200803.3185,7.5681,320,540,227
1765200803.3512,7.6008,320,540,228
1765200803.3831,7.6327,320,540,229
1765200803.4175,7.6671,320,540,230
1765200803.4506,7.7002,320,540,231
1765200803.4874,7.7370,320,540,232
1765200803.5186,7.7682,320,540,233
1765200803.5509,7.8005,320,540,234
1765200803.5875,7.8371,320,540,235
1765200803.6195,7.8691,320,540,236
1765200803.6512,7.9008,320,540,237
1765200803.6874,7.9370,320,540,238
1765200803.7187,7.9683,320,540,239
1765200803.7509,8.0005,960,540,240
1765200803.7865,8.0361,960,540,241
1765200803.8190,8.0686,960,540,242
1765200803.8507,8.1003,960,540,243
1765200803.8833,8.1329,960,540,244
1765200803.9168,8.1664,960,540,245
1765200803.9504,8.2000,960,540,246
1765200803.9863,8.2359,960,540,247
1765200804.0191,8.2687,960,540,248
1765200804.0512,8.3008,960,540,249
1765200804.0864,8.3360,960,540,250
1765200804.1194,8.3690,960,540,251
1765200804.1514,8.4010,960,540,252
1765200804.1875,8.4371,960,540,253
1765200804.2185,8.4681,960,540,254
1765200804.2506,8.5002,960,540,255
1765200804.2864,8.5360,960,540,256
1765200804.3186,8.5682,960,540,257
1765200804.3511,8.6007,960,540,258
1765200804.3826,8.6322,960,540,259
1765200804.4197,8.6693,960,540,260
1765200804.4510,8.7006,960,540,261
1765200804.4829,8.7324,960,540,262
1765200804.5158,8.7654,960,540,263
1765200804.5507,8.8003,960,540,264
1765200804.5866,8.8362,960,540,265
1765200804.6190,8.8686,960,540,266
1765200804.6515,8.9011,960,540,267
1765200804.6871,8.9367,960,540,268
1765200804.7179,8.9675,960,540,269
1765200804.7507,9.0003,960,540,270
1765200804.7875,9.0371,960,540,271
1765200804.8186,9.0682,960,540,272
1765200804.8516,9.1012,960,540,273
1765200804.8867,9.1363,960,540,274
1765200804.9181,9.1677,960,540,275
1765200804.9515,9.2011,960,540,276
1765200804.9835,9.2330,960,540,277
1765200805.0191,9.2687,960,540,278
1765200805.0508,9.3004,960,540,279
1765200805.0876,9.3372,960,540,280
1765200805.1186,9.3682,960,540,281
1765200805.1513,9.4009,960,540,282
1765200805.1866,9.4361,960,540,283
1765200805.2193,9.4689,960,540,284
1765200805.2516,9.5011,960,540,285
1765200805.2833,9.5329,960,540,286
1765200805.3173,9.5669,960,540,287
1765200805.3517,9.6013,960,540,288
1765200805.3872,9.6368,960,540,289
1765200805.4190,9.6686,960,540,290
1765200805.4509,9.7005,960,540,291
1765200805.4875,9.7371,960,540,292
1765200805.5195,9.7691,960,540,293
1765200805.5505,9.8001,960,540,294
1765200805.5862,9.8358,960,540,295
1765200805.6196,9.8692,960,540,296
1765200805.6515,9.9011,960,540,297
1765200805.6869,9.9365,960,540,298
1765200805.7196,9.9692,960,540,299
1765200805.7509,10.0005,1600,540,300
1765200805.7835,10.0330,1600,540,301
1765200805.8176,10.0672,1600,540,302
1765200805.8516,10.1012,1600,540,303
1765200805.8827,10.1323,1600,540,304
1765200805.9167,10.1663,1600,540,305
1765200805.9508,10.2004,1600,540,306
1765200805.9835,10.2331,1600,540,307
1765200806.0189,10.2685,1600,540,308
1765200806.0511,10.3007,1600,540,309
1765200806.0873,10.3369,1600,540,310
1765200806.1185,10.3681,1600,540,311
1765200806.1509,10.4005,1600,540,312
1765200806.1865,10.4361,1600,540,313
1765200806.2191,10.4687,1600,540,314
1765200806.2507,10.5003,1600,540,315
1765200806.2855,10.5351,1600,540,316
1765200806.3196,10.5692,1600,540,317
1765200806.3514,10.6010,1600,540,318
1765200806.3868,10.6363,1600,540,319
1765200806.4193,10.6688,1600,540,320
1765200806.4507,10.7002,1600,540,321
1765200806.4875,10.7371,1600,540,322
1765200806.5189,10.7685,1600,540,323
1765200806.5511,10.8007,1600,540,324
1765200806.5829,10.8324,1600,540,325
1765200806.6166,10.8662,1600,540,326
1765200806.6515,10.9011,1600,540,327
1765200806.6869,10.9365,1600,540,328
1765200806.7185,10.9681,1600,540,329
1765200806.7507,11.0003,1600,540,330
1765200806.7827,11.0323,1600,540,331
1765200806.8168,11.0664,1600,540,332
1765200806.8505,11.1000,1600,540,333
1765200806.8851,11.1347,1600,540,334
1765200806.9190,11.1686,1600,540,335
1765200806.9510,11.2006,1600,540,336
1765200806.9858,11.2354,1600,540,337
1765200807.0194,11.2690,1600,540,338
1765200807.0515,11.3011,1600,540,339
1765200807.0830,11.3326,1600,540,340
1765200807.1171,11.3667,1600,540,341
1765200807.1511,11.4007,1600,540,342
1765200807.1831,11.4327,1600,540,343
1765200807.2173,11.4669,1600,540,344
1765200807.2511,11.5007,1600,540,345
1765200807.2871,11.5366,1600,540,346
1765200807.3189,11.5685,1600,540,347
1765200807.3509,11.6005,1600,540,348
1765200807.3865,11.6361,1600,540,349
1765200807.4185,11.6681,1600,540,350
1765200807.4511,11.7007,1600,540,351
1765200807.4851,11.7347,1600,540,352
1765200807.5185,11.7681,1600,540,353
1765200807.5509,11.8005,1600,540,354
1765200807.5858,11.8354,1600,540,355
1765200807.6186,11.8681,1600,540,356
1765200807.6514,11.9010,1600,540,357
1765200807.6865,11.9361,1600,540,358
1765200807.7190,11.9686,1600,540,359
