timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765201596.7455,0.0000,320,180,0
1765201596.7794,0.0339,320,180,1
1765201596.8145,0.0690,320,180,2
1765201596.8467,0.1012,320,180,3
1765201596.8797,0.1342,320,180,4
1765201596.9134,0.1679,320,180,5
1765201596.9470,0.2015,320,180,6
1765201596.9793,0.2338,320,180,7
1765201597.0135,0.2680,320,180,8
1765201597.0469,0.3014,320,180,9
1765201597.0791,0.3336,320,180,10
1765201597.1129,0.3674,320,180,11
1765201597.1461,0.4006,320,180,12
1765201597.1787,0.4332,320,180,13
1765201597.2138,0.4683,320,180,14
1765201597.2451,0.4996,320,180,15
1765201597.2795,0.5340,320,180,16
1765201597.3128,0.5673,320,180,17
1765201597.3470,0.6015,320,180,18
1765201597.3789,0.6334,320,180,19
1765201597.4114,0.6659,320,180,20
1765201597.4467,0.7012,320,180,21
1765201597.4791,0.7336,320,180,22
1765201597.5138,0.7683,320,180,23
1765201597.5454,0.7999,320,180,24
1765201597.5807,0.8352,320,180,25
1765201597.6135,0.8681,320,180,26
1765201597.6448,0.8993,320,180,27
1765201597.6785,0.9330,320,180,28
1765201597.7145,0.9691,320,180,29
1765201597.7447,0.9992,320,180,30
1765201597.7801,1.0346,320,180,31
1765201597.8132,1.0677,320,180,32
1765201597.8450,1.0995,320,180,33
1765201597.8794,1.1339,320,180,34
1765201597.9133,1.1678,320,180,35
1765201597.9465,1.2010,320,180,36
1765201597.9786,1.2331,320,180,37
1765201598.0138,1.2683,320,180,38
1765201598.0452,1.2997,320,180,39
1765201598.0788,1.3333,320,180,40
1765201598.1136,1.3681,320,180,41
1765201598.1469,1.4014,320,180,42
1765201598.1784,1.4330,320,180,43
1765201598.2143,1.4688,320,180,44
1765201598.2451,1.4996,320,180,45
1765201598.2793,1.5338,320,180,46
1765201598.3131,1.5676,320,180,47
1765201598.3449,1.5994,320,180,48
1765201598.3805,1.6351,320,180,49
1765201598.4129,1.6674,320,180,50
1765201598.4454,1.6999,320,180,51
1765201598.4811,1.7356,320,180,52
1765201598.5135,1.7680,320,180,53
1765201598.5448,1.7993,320,180,54
1765201598.5808,1.8353,320,180,55
1765201598.6129,1.8674,320,180,56
1765201598.6451,1.8996,320,180,57
1765201598.6817,1.9362,320,180,58
1765201598.7135,1.9680,320,180,59
1765201598.7471,2.0016,960,180,60
1765201598.7789,2.0335,960,180,61
1765201598.8139,2.0684,960,180,62
1765201598.8445,2.0990,960,180,63
1765201598.8795,2.1340,960,180,64
1765201598.9126,2.1671,960,180,65
1765201598.9449,2.1994,960,180,66
1765201598.9786,2.2331,960,180,67
1765201599.0144,2.2689,960,180,68
1765201599.0455,2.3000,960,180,69
1765201599.0812,2.3357,960,180,70
1765201599.1133,2.3678,960,180,71
1765201599.1446,2.3991,960,180,72
1765201599.1788,2.4333,960,180,73
1765201599.2144,2.4689,960,180,74
1765201599.2455,2.5000,960,180,75
1765201599.2794,2.5339,960,180,76
1765201599.3131,2.5676,960,180,77
1765201599.3445,2.5990,960,180,78
1765201599.3791,2.6336,960,180,79
1765201599.4135,2.6680,960,180,80
1765201599.4471,2.7016,960,180,81
1765201599.4796,2.7341,960,180,82
1765201599.5131,2.7676,960,180,83
1765201599.5475,2.8020,960,180,84
1765201599.5790,2.8335,960,180,85
1765201599.6129,2.8674,960,180,86
1765201599.6476,2.9021,960,180,87
1765201599.6793,2.9339,960,180,88
1765201599.7130,2.9675,960,180,89
1765201599.7465,3.0010,960,180,90
1765201599.7789,3.0334,960,180,91
1765201599.8144,3.0689,960,180,92
1765201599.8473,3.1018,960,180,93
1765201599.8790,3.1335,960,180,94
1765201599.9135,3.1680,960,180,95
1765201599.9466,3.2011,960,180,96
1765201599.9786,3.2331,960,180,97
1765201600.0125,3.2670,960,180,98
1765201600.0456,3.3001,960,180,99
1765201600.0787,3.3332,960,180,100
1765201600.1144,3.3689,960,180,101
1765201600.1454,3.3999,960,180,102
1765201600.1796,3.4341,960,180,103
1765201600.2131,3.4676,960,180,104
1765201600.2451,3.4996,960,180,105
1765201600.2795,3.5340,960,180,106
1765201600.3125,3.5670,960,180,107
1765201600.3458,3.6003,960,180,108
1765201600.3817,3.6362,960,180,109
1765201600.4131,3.6676,960,180,110
1765201600.4455,3.7000,960,180,111
1765201600.4815,3.7360,960,180,112
1765201600.5126,3.7671,960,180,113
1765201600.5448,3.7993,960,180,114
1765201600.5813,3.8358,960,180,115
1765201600.6110,3.8655,960,180,116
1765201600.6449,3.8994,960,180,117
1765201600.6792,3.9337,960,180,118
1765201600.7111,3.9656,960,180,119
1765201600.7475,4.0020,1600,180,120
1765201600.7792,4.0337,1600,180,121
1765201600.8131,4.0676,1600,180,122
1765201600.8446,4.0991,1600,180,123
1765201600.8797,4.1342,1600,180,124
1765201600.9127,4.1672,1600,180,125
1765201600.9474,4.2019,1600,180,126
1765201600.9795,4.2340,1600,180,127
1765201601.0136,4.2681,1600,180,128
1765201601.0468,4.3013,1600,180,129
1765201601.0791,4.3336,1600,180,130
1765201601.1133,4.3678,1600,180,131
1765201601.1450,4.3995,1600,180,132
1765201601.1801,4.4346,1600,180,133
1765201601.2132,4.4677,1600,180,134
1765201601.2452,4.4997,1600,180,135
1765201601.2811,4.5356,1600,180,136
1765201601.3131,4.5676,1600,180,137
1765201601.3455,4.6000,1600,180,138
1765201601.3785,4.6330,1600,180,139
1765201601.4137,4.6682,1600,180,140
1765201601.4455,4.7000,1600,180,141
1765201601.4812,4.7357,1600,180,142
1765201601.5128,4.7673,1600,180,143
1765201601.5453,4.7998,1600,180,144
1765201601.5786,4.8331,1600,180,145
1765201601.6145,4.8690,1600,180,146
1765201601.6448,4.8993,1600,180,147
1765201601.6801,4.9346,1600,180,148
1765201601.7126,4.9671,1600,180,149
1765201601.7467,5.0012,1600,180,150
1765201601.7791,5.0336,1600,180,151
1765201601.8118,5.0663,1600,180,152
1765201601.8456,5.1001,1600,180,153
1765201601.8788,5.1333,1600,180,154
1765201601.9141,5.1686,1600,180,155
1765201601.9452,5.1997,1600,180,156
1765201601.9810,5.2355,1600,180,157
1765201602.0133,5.2678,1600,180,158
1765201602.0472,5.3018,1600,180,159
1765201602.0791,5.3336,1600,180,160
1765201602.1131,5.3676,1600,180,161
1765201602.1448,5.3993,1600,180,162
1765201602.1818,5.4363,1600,180,163
1765201602.2129,5.4674,1600,180,164
1765201602.2453,5.4998,1600,180,165
1765201602.2794,5.5339,1600,180,166
1765201602.3115,5.5660,1600,180,167
1765201602.3457,5.6002,1600,180,168
1765201602.3788,5.6333,1600,180,169
1765201602.4141,5.6686,1600,180,170
1765201602.4446,5.6991,1600,180,171
1765201602.4785,5.7330,1600,180,172
1765201602.5139,5.7684,1600,180,173
1765201602.5447,5.7992,1600,180,174
1765201602.5787,5.8332,1600,180,175
1765201602.6131,5.8676,1600,180,176
1765201602.6447,5.8992,1600,180,177
1765201602.6797,5.9343,1600,180,178
1765201602.7106,5.9651,1600,180,179
1765201602.7465,6.0010,320,540,180
1765201602.7815,6.0360,320,540,181
1765201602.8136,6.0681,320,540,182
1765201602.8447,6.0992,320,540,183
1765201602.8804,6.1349,320,540,184
1765201602.9130,6.1675,320,540,185
1765201602.9458,6.2003,320,540,186
1765201602.9787,6.2332,320,540,187
1765201603.0135,6.2680,320,540,188
1765201603.0468,6.3014,320,540,189
1765201603.0788,6.3333,320,540,190
1765201603.1136,6.3681,320,540,191
1765201603.1447,6.3992,320,540,192
1765201603.1791,6.4336,320,540,193
1765201603.2130,6.4676,320,540,194
1765201603.2446,6.4992,320,540,195
1765201603.2808,6.5353,320,540,196
1765201603.3135,6.5680,320,540,197
1765201603.3468,6.6013,320,540,198
1765201603.3791,6.6336,320,540,199
1765201603.4135,6.6680,320,540,200
1765201603.4453,6.6998,320,540,201
1765201603.4808,6.7353,320,540,202
1765201603.5131,6.7676,320,540,203
1765201603.5466,6.8011,320,540,204
1765201603.5790,6.8335,320,540,205
1765201603.6130,6.8675,320,540,206
1765201603.6446,6.8991,320,540,207
1765201603.6789,6.9334,320,540,208
1765201603.7143,6.9688,320,540,209
1765201603.7468,7.0013,320,540,210
1765201603.7789,7.0334,320,540,211
1765201603.8136,7.0681,320,540,212
1765201603.8450,7.0995,320,540,213
1765201603.8809,7.1354,320,540,214
1765201603.9114,7.1659,320,540,215
1765201603.9472,7.2017,320,540,216
1765201603.9789,7.2334,320,540,217
1765201604.0129,7.2674,320,540,218
1765201604.0453,7.2998,320,540,219
1765201604.0806,7.3351,320,540,220
1765201604.1125,7.3670,320,540,221
1765201604.1466,7.4011,320,540,222
1765201604.1788,7.4333,320,540,223
1765201604.2135,7.4680,320,540,224
1765201604.2449,7.4994,320,540,225
1765201604.2805,7.5350,320,540,226
1765201604.3129,7.5674,320,540,227
1765201604.3453,7.5998,320,540,228
1765201604.3803,7.6348,320,540,229
1765201604.4128,7.6673,320,540,230
1765201604.4466,7.7011,320,540,231
1765201604.4788,7.7333,320,540,232
1765201604.5126,7.7671,320,540,233
1765201604.5456,7.8001,320,540,234
1765201604.5787,7.8332,320,540,235
1765201604.6136,7.8681,320,540,236
1765201604.6446,7.8991,320,540,237
1765201604.6805,7.9350,320,540,238
1765201604.7134,7.9679,320,540,239
1765201604.7458,8.0003,960,540,240
1765201604.7787,8.0332,960,540,241
1765201604.8144,8.0689,960,540,242
1765201604.8456,8.1001,960,540,243
1765201604.8787,8.1332,960,540,244
1765201604.9137,8.1682,960,540,245
1765201604.9466,8.2011,960,540,246
1765201604.9789,8.2334,960,540,247
1765201605.0131,8.2676,960,540,248
1765201605.0452,8.2997,960,540,249
