timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765204782.2483,0.0000,320,180,0
1765204782.2826,0.0343,320,180,1
1765204782.3147,0.0665,320,180,2
1765204782.3489,0.1007,320,180,3
1765204782.3828,0.1345,320,180,4
1765204782.4151,0.1669,320,180,5
1765204782.4495,0.2013,320,180,6
1765204782.4825,0.2343,320,180,7
1765204782.5148,0.2666,320,180,8
1765204782.5487,0.3005,320,180,9
1765204782.5826,0.3343,320,180,10
1765204782.6148,0.3665,320,180,11
1765204782.6490,0.4008,320,180,12
1765204782.6827,0.4345,320,180,13
1765204782.7149,0.4667,320,180,14
1765204782.7491,0.5009,320,180,15
1765204782.7835,0.5352,320,180,16
1765204782.8153,0.5671,320,180,17
1765204782.8476,0.5994,320,180,18
1765204782.8828,0.6345,320,180,19
1765204782.9152,0.6670,320,180,20
1765204782.9492,0.7010,320,180,21
1765204782.9832,0.7350,320,180,22
1765204783.0154,0.7672,320,180,23
1765204783.0488,0.8006,320,180,24
1765204783.0830,0.8347,320,180,25
1765204783.1152,0.8669,320,180,26
1765204783.1489,0.9006,320,180,27
1765204783.1825,0.9343,320,180,28
1765204783.2150,0.9668,320,180,29
1765204783.2475,0.9993,320,180,30
1765204783.2835,1.0353,320,180,31
1765204783.3148,1.0665,320,180,32
1765204783.3489,1.1007,320,180,33
1765204783.3835,1.1352,320,180,34
1765204783.4147,1.1664,320,180,35
1765204783.4483,1.2001,320,180,36
1765204783.4832,1.2350,320,180,37
1765204783.5155,1.2672,320,180,38
1765204783.5496,1.3014,320,180,39
1765204783.5826,1.3343,320,180,40
1765204783.6155,1.3673,320,180,41
1765204783.6487,1.4005,320,180,42
1765204783.6834,1.4351,320,180,43
1765204783.7154,1.4672,320,180,44
1765204783.7489,1.5007,320,180,45
1765204783.7831,1.5349,320,180,46
1765204783.8152,1.5670,320,180,47
1765204783.8485,1.6003,320,180,48
1765204783.8829,1.6346,320,180,49
1765204783.9154,1.6672,320,180,50
1765204783.9490,1.7008,320,180,51
1765204783.9833,1.7351,320,180,52
1765204784.0146,1.7664,320,180,53
1765204784.0479,1.7997,320,180,54
1765204784.0828,1.8345,320,180,55
1765204784.1145,1.8663,320,180,56
1765204784.1489,1.9006,320,180,57
1765204784.1833,1.9350,320,180,58
1765204784.2149,1.9667,320,180,59
1765204784.2487,2.0004,960,180,60
1765204784.2825,2.0343,960,180,61
1765204784.3147,2.0664,960,180,62
1765204784.3474,2.0992,960,180,63
1765204784.3835,2.1352,960,180,64
1765204784.4155,2.1672,960,180,65
1765204784.4495,2.2013,960,180,66
1765204784.4833,2.2351,960,180,67
1765204784.5145,2.2662,960,180,68
1765204784.5485,2.3002,960,180,69
1765204784.5828,2.3345,960,180,70
1765204784.6149,2.3666,960,180,71
1765204784.6491,2.4008,960,180,72
1765204784.6835,2.4353,960,180,73
1765204784.7146,2.4664,960,180,74
1765204784.7477,2.4994,960,180,75
1765204784.7835,2.5352,960,180,76
1765204784.8146,2.5664,960,180,77
1765204784.8490,2.6008,960,180,78
