timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1764871023.3763,0.0000,320,180,0
1764871023.4120,0.0357,320,180,1
1764871023.4432,0.0669,320,180,2
1764871023.4772,0.1009,320,180,3
1764871023.5102,0.1339,320,180,4
1764871023.5435,0.1672,320,180,5
1764871023.5779,0.2016,320,180,6
1764871023.6117,0.2354,320,180,7
1764871023.6435,0.2672,320,180,8
1764871023.6758,0.2995,320,180,9
1764871023.7113,0.3350,320,180,10
1764871023.7430,0.3667,320,180,11
1764871023.7765,0.4003,320,180,12
1764871023.8113,0.4350,320,180,13
1764871023.8436,0.4673,320,180,14
1764871023.8776,0.5013,320,180,15
1764871023.9109,0.5346,320,180,16
1764871023.9435,0.5672,320,180,17
1764871023.9773,0.6010,320,180,18
1764871024.0118,0.6355,320,180,19
1764871024.0434,0.6671,320,180,20
1764871024.0751,0.6988,320,180,21
1764871024.1118,0.7355,320,180,22
1764871024.1440,0.7677,320,180,23
1764871024.1749,0.7986,320,180,24
1764871024.2114,0.8351,320,180,25
1764871024.2429,0.8666,320,180,26
1764871024.2756,0.8993,320,180,27
1764871024.3112,0.9349,320,180,28
1764871024.3431,0.9668,320,180,29
1764871024.3750,0.9987,320,180,30
1764871024.4118,1.0355,320,180,31
1764871024.4431,1.0668,320,180,32
1764871024.4779,1.1016,320,180,33
1764871024.5115,1.1352,320,180,34
1764871024.5451,1.1688,320,180,35
1764871024.5759,1.1996,320,180,36
1764871024.6110,1.2347,320,180,37
1764871024.6433,1.2670,320,180,38
1764871024.6749,1.2986,320,180,39
1764871024.7112,1.3349,320,180,40
1764871024.7433,1.3670,320,180,41
1764871024.7779,1.4016,320,180,42
1764871024.8111,1.4349,320,180,43
1764871024.8433,1.4670,320,180,44
1764871024.8760,1.4997,320,180,45
1764871024.9119,1.5356,320,180,46
1764871024.9430,1.5667,320,180,47
1764871024.9758,1.5995,320,180,48
1764871025.0119,1.6356,320,180,49
1764871025.0432,1.6669,320,180,50
1764871025.0759,1.6997,320,180,51
1764871025.1109,1.7346,320,180,52
1764871025.1432,1.7669,320,180,53
1764871025.1749,1.7986,320,180,54
1764871025.2119,1.8356,320,180,55
1764871025.2439,1.8676,320,180,56
1764871025.2773,1.9010,320,180,57
1764871025.3110,1.9347,320,180,58
1764871025.3437,1.9675,320,180,59
1764871025.3778,2.0015,960,180,60
1764871025.4116,2.0353,960,180,61
1764871025.4430,2.0667,960,180,62
1764871025.4777,2.1014,960,180,63
1764871025.5114,2.1352,960,180,64
1764871025.5431,2.1668,960,180,65
1764871025.5769,2.2006,960,180,66
1764871025.6115,2.2352,960,180,67
1764871025.6431,2.2668,960,180,68
1764871025.6770,2.3007,960,180,69
1764871025.7109,2.3346,960,180,70
1764871025.7429,2.3666,960,180,71
1764871025.7752,2.3989,960,180,72
1764871025.8119,2.4356,960,180,73
1764871025.8435,2.4672,960,180,74
1764871025.8766,2.5003,960,180,75
1764871025.9110,2.5347,960,180,76
1764871025.9450,2.5687,960,180,77
1764871025.9768,2.6005,960,180,78
1764871026.0117,2.6355,960,180,79
1764871026.0434,2.6672,960,180,80
1764871026.0768,2.7005,960,180,81
1764871026.1119,2.7356,960,180,82
1764871026.1429,2.7666,960,180,83
1764871026.1760,2.7997,960,180,84
1764871026.2119,2.8356,960,180,85
1764871026.2439,2.8676,960,180,86
1764871026.2779,2.9016,960,180,87
1764871026.3113,2.9350,960,180,88
1764871026.3430,2.9667,960,180,89
1764871026.3779,3.0016,960,180,90
1764871026.4110,3.0347,960,180,91
1764871026.4436,3.0673,960,180,92
1764871026.4771,3.1008,960,180,93
1764871026.5115,3.1353,960,180,94
1764871026.5439,3.1676,960,180,95
1764871026.5760,3.1997,960,180,96
1764871026.6112,3.2350,960,180,97
1764871026.6433,3.2670,960,180,98
1764871026.6772,3.3009,960,180,99
1764871026.7114,3.3351,960,180,100
1764871026.7442,3.3679,960,180,101
1764871026.7777,3.4014,960,180,102
1764871026.8121,3.4358,960,180,103
1764871026.8430,3.4667,960,180,104
1764871026.8768,3.5005,960,180,105
1764871026.9118,3.5355,960,180,106
1764871026.9433,3.5670,960,180,107
1764871026.9770,3.6007,960,180,108
1764871027.0109,3.6346,960,180,109
1764871027.0440,3.6677,960,180,110
1764871027.0752,3.6989,960,180,111
1764871027.1111,3.7348,960,180,112
1764871027.1439,3.7676,960,180,113
1764871027.1771,3.8008,960,180,114
1764871027.2115,3.8352,960,180,115
1764871027.2438,3.8675,960,180,116
1764871027.2779,3.9016,960,180,117
1764871027.3109,3.9346,960,180,118
1764871027.3431,3.9668,960,180,119
1764871027.3776,4.0013,1600,180,120
1764871027.4117,4.0354,1600,180,121
1764871027.4437,4.0674,1600,180,122
1764871027.4753,4.0990,1600,180,123
1764871027.5109,4.1346,1600,180,124
1764871027.5435,4.1672,1600,180,125
1764871027.5767,4.2004,1600,180,126
1764871027.6119,4.2356,1600,180,127
1764871027.6439,4.2676,1600,180,128
1764871027.6779,4.3016,1600,180,129
1764871027.7117,4.3354,1600,180,130
1764871027.7440,4.3677,1600,180,131
1764871027.7770,4.4007,1600,180,132
1764871027.8116,4.4353,1600,180,133
1764871027.8428,4.4665,1600,180,134
1764871027.8759,4.4996,1600,180,135
1764871027.9113,4.5350,1600,180,136
1764871027.9433,4.5670,1600,180,137
1764871027.9779,4.6016,1600,180,138
1764871028.0109,4.6346,1600,180,139
1764871028.0440,4.6677,1600,180,140
1764871028.0769,4.7007,1600,180,141
1764871028.1117,4.7354,1600,180,142
1764871028.1433,4.7670,1600,180,143
1764871028.1756,4.7993,1600,180,144
1764871028.2112,4.8350,1600,180,145
1764871028.2429,4.8666,1600,180,146
1764871028.2762,4.8999,1600,180,147
1764871028.3119,4.9356,1600,180,148
1764871028.3448,4.9685,1600,180,149
1764871028.3769,5.0006,1600,180,150
1764871028.4118,5.0355,1600,180,151
1764871028.4438,5.0675,1600,180,152
1764871028.4769,5.1006,1600,180,153
1764871028.5111,5.1348,1600,180,154
1764871028.5435,5.1672,1600,180,155
