timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765200302.7496,0.0000,320,180,0
1765200302.7835,0.0339,320,180,1
1765200302.8188,0.0692,320,180,2
1765200302.8486,0.0990,320,180,3
1765200302.8836,0.1340,320,180,4
1765200302.9186,0.1690,320,180,5
1765200302.9491,0.1995,320,180,6
1765200302.9830,0.2334,320,180,7
1765200303.0194,0.2698,320,180,8
1765200303.0489,0.2993,320,180,9
1765200303.0841,0.3345,320,180,10
1765200303.1191,0.3695,320,180,11
1765200303.1508,0.4012,320,180,12
1765200303.1833,0.4337,320,180,13
1765200303.2195,0.4699,320,180,14
1765200303.2489,0.4993,320,180,15
1765200303.2852,0.5356,320,180,16
1765200303.3188,0.5692,320,180,17
1765200303.3488,0.5992,320,180,18
1765200303.3830,0.6334,320,180,19
1765200303.4188,0.6692,320,180,20
1765200303.4489,0.6993,320,180,21
1765200303.4830,0.7334,320,180,22
1765200303.5157,0.7661,320,180,23
1765200303.5505,0.8009,320,180,24
1765200303.5843,0.8347,320,180,25
1765200303.6187,0.8691,320,180,26
1765200303.6486,0.8990,320,180,27
1765200303.6838,0.9342,320,180,28
1765200303.7195,0.9699,320,180,29
1765200303.7505,1.0009,320,180,30
1765200303.7825,1.0329,320,180,31
1765200303.8191,1.0695,320,180,32
1765200303.8496,1.1000,320,180,33
1765200303.8828,1.1332,320,180,34
1765200303.9167,1.1671,320,180,35
1765200303.9494,1.1998,320,180,36
1765200303.9847,1.2351,320,180,37
1765200304.0193,1.2697,320,180,38
1765200304.0507,1.3011,320,180,39
1765200304.0830,1.3334,320,180,40
1765200304.1190,1.3694,320,180,41
1765200304.1490,1.3994,320,180,42
1765200304.1826,1.4330,320,180,43
1765200304.2157,1.4661,320,180,44
1765200304.2496,1.5000,320,180,45
1765200304.2831,1.5335,320,180,46
1765200304.3187,1.5691,320,180,47
1765200304.3492,1.5996,320,180,48
1765200304.3853,1.6357,320,180,49
1765200304.4185,1.6689,320,180,50
1765200304.4489,1.6993,320,180,51
1765200304.4836,1.7340,320,180,52
1765200304.5196,1.7700,320,180,53
1765200304.5506,1.8010,320,180,54
1765200304.5829,1.8333,320,180,55
1765200304.6194,1.8698,320,180,56
1765200304.6486,1.8990,320,180,57
1765200304.6833,1.9337,320,180,58
1765200304.7195,1.9699,320,180,59
1765200304.7506,2.0010,960,180,60
1765200304.7836,2.0340,960,180,61
1765200304.8186,2.0690,960,180,62
1765200304.8515,2.1019,960,180,63
1765200304.8832,2.1336,960,180,64
1765200304.9194,2.1698,960,180,65
1765200304.9511,2.2015,960,180,66
1765200304.9832,2.2336,960,180,67
1765200305.0186,2.2690,960,180,68
1765200305.0488,2.2992,960,180,69
1765200305.0827,2.3331,960,180,70
1765200305.1191,2.3695,960,180,71
1765200305.1489,2.3993,960,180,72
1765200305.1845,2.4349,960,180,73
1765200305.2191,2.4695,960,180,74
1765200305.2488,2.4992,960,180,75
1765200305.2831,2.5335,960,180,76
1765200305.3164,2.5668,960,180,77
1765200305.3494,2.5998,960,180,78
1765200305.3847,2.6351,960,180,79
1765200305.4190,2.6694,960,180,80
1765200305.4495,2.6999,960,180,81
1765200305.4847,2.7351,960,180,82
1765200305.5189,2.7693,960,180,83
1765200305.5486,2.7990,960,180,84
1765200305.5851,2.8355,960,180,85
1765200305.6195,2.8699,960,180,86
1765200305.6508,2.9012,960,180,87
1765200305.6827,2.9331,960,180,88
1765200305.7192,2.9696,960,180,89
1765200305.7493,2.9997,960,180,90
1765200305.7826,3.0330,960,180,91
1765200305.8164,3.0668,960,180,92
1765200305.8494,3.0998,960,180,93
1765200305.8831,3.1335,960,180,94
1765200305.9193,3.1697,960,180,95
1765200305.9486,3.1990,960,180,96
1765200305.9854,3.2358,960,180,97
1765200306.0186,3.2690,960,180,98
1765200306.0494,3.2998,960,180,99
1765200306.0833,3.3337,960,180,100
1765200306.1191,3.3695,960,180,101
1765200306.1514,3.4018,960,180,102
1765200306.1825,3.4329,960,180,103
1765200306.2188,3.4692,960,180,104
1765200306.2488,3.4992,960,180,105
1765200306.2855,3.5359,960,180,106
1765200306.3189,3.5693,960,180,107
1765200306.3485,3.5989,960,180,108
1765200306.3828,3.6332,960,180,109
1765200306.4164,3.6668,960,180,110
1765200306.4486,3.6990,960,180,111
1765200306.4851,3.7355,960,180,112
1765200306.5193,3.7697,960,180,113
1765200306.5514,3.8018,960,180,114
1765200306.5833,3.8337,960,180,115
1765200306.6195,3.8699,960,180,116
1765200306.6489,3.8993,960,180,117
1765200306.6826,3.9330,960,180,118
1765200306.7160,3.9664,960,180,119
1765200306.7506,4.0010,1600,180,120
1765200306.7829,4.0333,1600,180,121
1765200306.8156,4.0660,1600,180,122
1765200306.8489,4.0993,1600,180,123
1765200306.8846,4.1350,1600,180,124
1765200306.9188,4.1692,1600,180,125
1765200306.9487,4.1991,1600,180,126
1765200306.9834,4.2338,1600,180,127
1765200307.0194,4.2698,1600,180,128
1765200307.0486,4.2990,1600,180,129
1765200307.0838,4.3342,1600,180,130
1765200307.1187,4.3691,1600,180,131
1765200307.1491,4.3995,1600,180,132
1765200307.1845,4.4349,1600,180,133
1765200307.2188,4.4692,1600,180,134
1765200307.2514,4.5018,1600,180,135
1765200307.2835,4.5339,1600,180,136
1765200307.3190,4.5694,1600,180,137
1765200307.3485,4.5989,1600,180,138
1765200307.3828,4.6332,1600,180,139
