timestamp_unix,relative_time_s,stimulus_x,stimulus_y,frame_idx
1765203540.7478,0.0000,320,180,0
1765203540.7828,0.0350,320,180,1
1765203540.8156,0.0678,320,180,2
1765203540.8490,0.1012,320,180,3
1765203540.8815,0.1337,320,180,4
1765203540.9147,0.1669,320,180,5
1765203540.9495,0.2017,320,180,6
1765203540.9825,0.2347,320,180,7
1765203541.0147,0.2669,320,180,8
1765203541.0495,0.3017,320,180,9
1765203541.0834,0.3356,320,180,10
1765203541.1156,0.3678,320,180,11
1765203541.1492,0.4014,320,180,12
1765203541.1829,0.4351,320,180,13
1765203541.2155,0.4677,320,180,14
1765203541.2486,0.5008,320,180,15
1765203541.2829,0.5351,320,180,16
1765203541.3154,0.5676,320,180,17
1765203541.3492,0.6014,320,180,18
1765203541.3835,0.6357,320,180,19
1765203541.4147,0.6669,320,180,20
1765203541.4485,0.7007,320,180,21
1765203541.4835,0.7357,320,180,22
1765203541.5153,0.7675,320,180,23
1765203541.5471,0.7993,320,180,24
1765203541.5829,0.8351,320,180,25
1765203541.6145,0.8667,320,180,26
1765203541.6483,0.9005,320,180,27
1765203541.6828,0.9350,320,180,28
1765203541.7157,0.9678,320,180,29
1765203541.7468,0.9990,320,180,30
1765203541.7834,1.0356,320,180,31
1765203541.8155,1.0677,320,180,32
1765203541.8488,1.1010,320,180,33
1765203541.8835,1.1357,320,180,34
1765203541.9146,1.1668,320,180,35
1765203541.9489,1.2011,320,180,36
1765203541.9833,1.2355,320,180,37
1765203542.0148,1.2670,320,180,38
1765203542.0469,1.2991,320,180,39
1765203542.0832,1.3353,320,180,40
1765203542.1148,1.3669,320,180,41
1765203542.1490,1.4012,320,180,42
1765203542.1828,1.4350,320,180,43
1765203542.2147,1.4669,320,180,44
1765203542.2474,1.4995,320,180,45
1765203542.2828,1.5350,320,180,46
1765203542.3147,1.5669,320,180,47
1765203542.3494,1.6016,320,180,48
1765203542.3830,1.6352,320,180,49
1765203542.4151,1.6673,320,180,50
1765203542.4475,1.6997,320,180,51
1765203542.4826,1.7348,320,180,52
1765203542.5151,1.7672,320,180,53
1765203542.5486,1.8007,320,180,54
1765203542.5827,1.8349,320,180,55
1765203542.6152,1.8674,320,180,56
1765203542.6489,1.9011,320,180,57
1765203542.6836,1.9358,320,180,58
1765203542.7149,1.9671,320,180,59
1765203542.7472,1.9994,960,180,60
1765203542.7827,2.0349,960,180,61
1765203542.8153,2.0675,960,180,62
1765203542.8489,2.1011,960,180,63
1765203542.8827,2.1349,960,180,64
1765203542.9145,2.1667,960,180,65
1765203542.9481,2.2003,960,180,66
1765203542.9836,2.2358,960,180,67
1765203543.0152,2.2673,960,180,68
1765203543.0475,2.2997,960,180,69
1765203543.0835,2.3357,960,180,70
1765203543.1147,2.3669,960,180,71
1765203543.1491,2.4013,960,180,72
1765203543.1825,2.4347,960,180,73
1765203543.2147,2.4669,960,180,74
1765203543.2474,2.4996,960,180,75
1765203543.2829,2.5351,960,180,76
1765203543.3146,2.5668,960,180,77
1765203543.3490,2.6012,960,180,78
1765203543.3835,2.6357,960,180,79
1765203543.4154,2.6676,960,180,80
1765203543.4488,2.7009,960,180,81
1765203543.4827,2.7349,960,180,82
1765203543.5145,2.7667,960,180,83
1765203543.5471,2.7993,960,180,84
1765203543.5835,2.8357,960,180,85
1765203543.6148,2.8670,960,180,86
1765203543.6496,2.9018,960,180,87
1765203543.6825,2.9347,960,180,88
1765203543.7155,2.9677,960,180,89
1765203543.7494,3.0016,960,180,90
1765203543.7825,3.0347,960,180,91
1765203543.8153,3.0675,960,180,92
1765203543.8492,3.1014,960,180,93
1765203543.8825,3.1347,960,180,94
1765203543.9151,3.1673,960,180,95
1765203543.9492,3.2014,960,180,96
1765203543.9829,3.2350,960,180,97
1765203544.0149,3.2671,960,180,98
1765203544.0493,3.3015,960,180,99
1765203544.0833,3.3355,960,180,100
1765203544.1146,3.3668,960,180,101
1765203544.1476,3.3998,960,180,102
1765203544.1829,3.4351,960,180,103
1765203544.2145,3.4667,960,180,104
1765203544.2490,3.5012,960,180,105
1765203544.2835,3.5357,960,180,106
1765203544.3151,3.5673,960,180,107
1765203544.3474,3.5996,960,180,108
1765203544.3835,3.6356,960,180,109
1765203544.4148,3.6670,960,180,110
1765203544.4466,3.6988,960,180,111
1765203544.4831,3.7353,960,180,112
1765203544.5146,3.7668,960,180,113
